epoch,val_acc
0,0.3982
1,0.4248
2,0.4367
3,0.4413
4,0.4372
5,0.4385
6,0.4418
7,0.4413
8,0.4413
9,0.4405
10,0.4393
11,0.4390
12,0.4420
13,0.4456
14,0.4509
15,0.4580
16,0.4659
17,0.4725
18,0.4839
19,0.4958
20,0.5085
21,0.5217
22,0.5334
23,0.5420
24,0.5521
25,0.5651
26,0.5775
27,0.5861
28,0.5914
29,0.6016
30,0.6082
31,0.6173
32,0.6229
33,0.6267
34,0.6302
35,0.6279
36,0.6277
37,0.6287
38,0.6264
39,0.6259
40,0.6241
41,0.6236
42,0.6239
43,0.6226
44,0.6214
45,0.6224
46,0.6214
47,0.6198
48,0.6186
49,0.6183
50,0.6178
51,0.6178
52,0.6176
53,0.6178
54,0.6178
55,0.6176
56,0.6173
57,0.6176
58,0.6178
59,0.6181
60,0.6186
61,0.6188
62,0.6188
63,0.6188
64,0.6191
65,0.6188
66,0.6188
67,0.6188
68,0.6193
69,0.6201
70,0.6198
71,0.6193
72,0.6193
73,0.6191
74,0.6201
75,0.6208
76,0.6208
77,0.6214
78,0.6229
79,0.6239
80,0.6254
81,0.6259
82,0.6262
83,0.6279
84,0.6295
