epoch,val_acc
0,0.3746
1,0.3776
2,0.3771
3,0.3764
4,0.3766
5,0.3781
6,0.3784
7,0.3786
8,0.3786
9,0.3789
10,0.3786
11,0.3792
12,0.3802
13,0.3824
14,0.3842
15,0.3878
16,0.3949
17,0.4058
18,0.4243
19,0.4438
20,0.4669
21,0.4895
22,0.5075
23,0.5197
24,0.5298
25,0.5369
26,0.5430
27,0.5468
28,0.5526
29,0.5554
30,0.5590
31,0.5623
32,0.5628
33,0.5658
34,0.5671
35,0.5691
36,0.5709
37,0.5724
38,0.5729
39,0.5752
40,0.5757
41,0.5772
42,0.5782
43,0.5790
44,0.5793
45,0.5803
46,0.5808
47,0.5810
48,0.5818
49,0.5818
50,0.5818
51,0.5828
52,0.5828
53,0.5833
54,0.5833
55,0.5833
56,0.5841
57,0.5843
58,0.5843
59,0.5846
60,0.5848
61,0.5848
62,0.5851
63,0.5851
64,0.5851
65,0.5851
66,0.5851
67,0.5848
68,0.5851
69,0.5851
70,0.5848
71,0.5853
72,0.5853
73,0.5853
74,0.5853
75,0.5856
76,0.5853
77,0.5851
78,0.5843
79,0.5843
80,0.5851
81,0.5864
82,0.5876
83,0.5881
84,0.5904
85,0.5919
86,0.5942
87,0.5995
88,0.6026
89,0.6079
90,0.6137
91,0.6188
92,0.6241
93,0.6305
94,0.6350
95,0.6394
96,0.6411
97,0.6439
98,0.6470
99,0.6493
100,0.6520
101,0.6551
102,0.6576
103,0.6607
104,0.6632
105,0.6660
106,0.6698
107,0.6726
108,0.6749
109,0.6769
110,0.6782
111,0.6789
112,0.6799
113,0.6830
114,0.6853
115,0.6883
116,0.6906
117,0.6921
118,0.6939
119,0.6957
120,0.6959
121,0.6967
122,0.6985
123,0.6995
124,0.7017
125,0.7025
126,0.7025
127,0.7038
128,0.7058
129,0.7076
130,0.7089
131,0.7094
132,0.7104
133,0.7109
134,0.7124
135,0.7129
136,0.7149
137,0.7144
138,0.7149
139,0.7157
140,0.7172
141,0.7172
142,0.7180
143,0.7198
144,0.7208
145,0.7213
146,0.7220
147,0.7241
148,0.7253
149,0.7274
150,0.7276
151,0.7284
152,0.7281
153,0.7291
154,0.7302
155,0.7304
156,0.7314
157,0.7335
158,0.7345
159,0.7367
160,0.7385
161,0.7390
162,0.7403
163,0.7413
164,0.7421
165,0.7436
166,0.7449
167,0.7454
168,0.7459
169,0.7464
170,0.7477
171,0.7484
172,0.7484
173,0.7494
174,0.7497
175,0.7517
176,0.7530
177,0.7537
178,0.7563
179,0.7575
180,0.7591
181,0.7596
182,0.7606
183,0.7606
184,0.7606
185,0.7611
186,0.7616
187,0.7616
188,0.7613
189,0.7608
190,0.7619
191,0.7629
192,0.7631
193,0.7641
194,0.7654
195,0.7662
196,0.7664
197,0.7669
198,0.7677
199,0.7687
200,0.7695
201,0.7700
202,0.7705
203,0.7710
204,0.7712
205,0.7707
206,0.7710
207,0.7710
208,0.7717
209,0.7720
210,0.7723
211,0.7730
212,0.7730
213,0.7730
214,0.7733
215,0.7735
216,0.7740
217,0.7743
218,0.7740
219,0.7743
220,0.7745
221,0.7753
222,0.7750
223,0.7753
224,0.7753
225,0.7756
226,0.7758
227,0.7753
228,0.7756
229,0.7768
230,0.7778
231,0.7781
232,0.7778
233,0.7778
234,0.7766
235,0.7763
236,0.7766
237,0.7763
238,0.7771
239,0.7778
240,0.7773
241,0.7781
242,0.7781
243,0.7786
244,0.7804
245,0.7806
246,0.7809
247,0.7809
248,0.7811
249,0.7809
250,0.7811
251,0.7811
252,0.7809
253,0.7811
254,0.7806
255,0.7811
256,0.7809
257,0.7811
258,0.7814
259,0.7816
260,0.7814
261,0.7814
262,0.7811
263,0.7811
264,0.7811
265,0.7811
266,0.7811
267,0.7811
268,0.7811
269,0.7827
270,0.7832
271,0.7854
272,0.7852
273,0.7875
274,0.7877
275,0.7875
276,0.7870
277,0.7865
278,0.7872
279,0.7872
280,0.7857
281,0.7844
282,0.7847
283,0.7844
284,0.7859
285,0.7870
286,0.7880
287,0.7887
288,0.7885
289,0.7885
290,0.7887
291,0.7887
292,0.7887
293,0.7900
294,0.7900
295,0.7895
296,0.7900
297,0.7905
298,0.7905
299,0.7900
300,0.7895
301,0.7898
302,0.7895
303,0.7887
304,0.7890
305,0.7892
306,0.7892
307,0.7898
308,0.7903
309,0.7903
310,0.7905
311,0.7910
312,0.7915
313,0.7918
314,0.7915
315,0.7915
316,0.7913
317,0.7913
318,0.7910
319,0.7913
320,0.7918
321,0.7920
322,0.7928
323,0.7925
324,0.7928
