epoch,val_acc
0,0.9575
1,0.9683
2,0.9686
3,0.9686
4,0.9686
5,0.9686
6,0.9686
7,0.9686
8,0.9686
9,0.9686
10,0.9686
11,0.9686
12,0.9686
13,0.9686
14,0.9686
15,0.9686
16,0.9686
17,0.9686
18,0.9689
19,0.9692
20,0.9694
21,0.9694
22,0.9694
23,0.9695
24,0.9695
25,0.9697
26,0.9698
27,0.9697
28,0.9702
29,0.9702
30,0.9702
31,0.9701
32,0.9700
33,0.9700
34,0.9695
35,0.9695
36,0.9693
37,0.9693
38,0.9692
39,0.9692
40,0.9691
41,0.9691
42,0.9689
43,0.9689
44,0.9688
45,0.9688
46,0.9687
47,0.9686
48,0.9688
49,0.9685
50,0.9689
51,0.9694
52,0.9693
53,0.9693
54,0.9694
55,0.9695
56,0.9695
57,0.9694
58,0.9696
59,0.9701
60,0.9697
61,0.9700
62,0.9700
63,0.9700
64,0.9701
65,0.9701
66,0.9700
67,0.9700
68,0.9700
69,0.9701
70,0.9702
71,0.9705
72,0.9704
73,0.9704
74,0.9705
75,0.9704
76,0.9703
77,0.9703
78,0.9703
79,0.9704
80,0.9703
81,0.9706
82,0.9705
83,0.9705
84,0.9704
85,0.9704
86,0.9704
87,0.9705
88,0.9705
89,0.9704
90,0.9704
91,0.9706
92,0.9704
93,0.9705
94,0.9705
95,0.9705
96,0.9704
97,0.9705
98,0.9705
99,0.9705
100,0.9704
101,0.9705
102,0.9705
103,0.9705
104,0.9704
105,0.9703
106,0.9703
107,0.9703
108,0.9704
109,0.9704
110,0.9704
111,0.9704
112,0.9703
113,0.9703
114,0.9704
115,0.9703
116,0.9703
117,0.9703
118,0.9703
119,0.9703
120,0.9702
121,0.9703
122,0.9702
123,0.9702
124,0.9702
125,0.9702
126,0.9702
127,0.9702
128,0.9701
129,0.9702
130,0.9702
131,0.9703
