epoch,val_acc
0,0.9702
1,0.9706
2,0.9706
3,0.9706
4,0.9706
5,0.9706
6,0.9706
7,0.9705
8,0.9705
9,0.9705
10,0.9706
11,0.9710
12,0.9711
13,0.9707
14,0.9706
15,0.9707
16,0.9708
17,0.9708
18,0.9708
19,0.9711
20,0.9711
21,0.9711
22,0.9711
23,0.9712
24,0.9712
25,0.9712
26,0.9712
27,0.9711
28,0.9708
29,0.9703
30,0.9695
31,0.9688
32,0.9688
33,0.9690
34,0.9695
35,0.9702
36,0.9707
37,0.9711
38,0.9712
39,0.9712
40,0.9712
41,0.9712
42,0.9713
43,0.9714
44,0.9714
45,0.9715
46,0.9715
47,0.9713
48,0.9713
49,0.9713
50,0.9713
51,0.9712
52,0.9711
53,0.9711
54,0.9711
55,0.9710
56,0.9712
57,0.9712
58,0.9712
59,0.9713
60,0.9713
61,0.9714
62,0.9714
63,0.9714
64,0.9712
65,0.9712
66,0.9712
67,0.9712
68,0.9712
69,0.9712
70,0.9712
71,0.9712
72,0.9712
73,0.9712
74,0.9712
75,0.9712
76,0.9712
77,0.9713
78,0.9713
79,0.9713
80,0.9713
81,0.9713
82,0.9712
83,0.9712
84,0.9713
85,0.9713
86,0.9713
87,0.9712
88,0.9712
89,0.9712
90,0.9712
91,0.9712
92,0.9712
93,0.9713
94,0.9713
95,0.9713
