epoch,val_acc
0,0.2200
1,0.9502
2,0.9686
3,0.9689
4,0.9689
5,0.9689
6,0.9689
7,0.9689
8,0.9690
9,0.9690
10,0.9690
11,0.9690
12,0.9690
13,0.9690
14,0.9690
15,0.9690
16,0.9690
17,0.9690
18,0.9690
19,0.9690
20,0.9690
21,0.9690
22,0.9690
23,0.9690
24,0.9690
25,0.9690
26,0.9690
27,0.9690
28,0.9690
29,0.9690
30,0.9690
31,0.9690
32,0.9690
33,0.9690
34,0.9690
35,0.9690
36,0.9690
37,0.9690
38,0.9690
39,0.9690
40,0.9690
41,0.9690
42,0.9690
43,0.9690
44,0.9690
45,0.9690
46,0.9690
47,0.9690
48,0.9690
49,0.9690
50,0.9690
51,0.9690
52,0.9690
53,0.9690
54,0.9690
55,0.9690
56,0.9690
57,0.9690
58,0.9690
