epoch,val_acc
0,0.2540
1,0.4014
2,0.4120
3,0.4117
4,0.4003
5,0.3780
6,0.3828
7,0.3981
8,0.4228
9,0.4259
10,0.4393
11,0.4468
12,0.4693
13,0.4793
14,0.4936
15,0.5007
16,0.5207
17,0.5335
18,0.5368
19,0.5399
20,0.5455
21,0.5556
22,0.5635
23,0.5680
24,0.5719
25,0.5755
26,0.5766
27,0.5752
28,0.5757
29,0.5894
30,0.5909
31,0.5907
32,0.5918
33,0.5874
34,0.5905
35,0.5942
36,0.6019
37,0.6028
38,0.6046
39,0.6081
40,0.6094
41,0.6117
42,0.6123
43,0.6163
44,0.6176
45,0.6174
46,0.6214
47,0.6222
48,0.6238
49,0.6242
50,0.6242
51,0.6249
52,0.6244
53,0.6262
54,0.6269
55,0.6271
56,0.6271
57,0.6286
58,0.6304
59,0.6304
60,0.6313
61,0.6320
62,0.6333
63,0.6342
64,0.6346
65,0.6353
66,0.6350
67,0.6353
68,0.6361
69,0.6377
70,0.6395
71,0.6403
72,0.6403
73,0.6412
74,0.6419
75,0.6421
76,0.6428
77,0.6430
78,0.6445
79,0.6459
80,0.6467
81,0.6470
82,0.6474
83,0.6476
84,0.6487
85,0.6487
86,0.6500
87,0.6509
88,0.6507
89,0.6523
90,0.6520
91,0.6527
92,0.6536
93,0.6538
94,0.6547
95,0.6542
96,0.6549
97,0.6547
98,0.6547
99,0.6549
100,0.6556
101,0.6558
102,0.6560
103,0.6560
104,0.6564
105,0.6560
106,0.6569
107,0.6571
108,0.6562
109,0.6567
110,0.6573
111,0.6582
112,0.6589
113,0.6586
114,0.6589
115,0.6598
116,0.6598
117,0.6598
118,0.6604
119,0.6617
120,0.6637
121,0.6635
122,0.6633
123,0.6635
124,0.6646
125,0.6650
126,0.6653
127,0.6646
128,0.6653
129,0.6650
130,0.6650
131,0.6662
132,0.6677
133,0.6679
134,0.6686
135,0.6686
136,0.6690
137,0.6697
138,0.6690
139,0.6690
140,0.6688
141,0.6686
142,0.6688
143,0.6686
144,0.6688
145,0.6692
146,0.6697
147,0.6701
148,0.6710
149,0.6708
150,0.6703
151,0.6699
152,0.6708
153,0.6708
154,0.6721
155,0.6719
156,0.6732
157,0.6741
158,0.6741
159,0.6743
160,0.6745
161,0.6756
162,0.6765
163,0.6763
164,0.6776
165,0.6785
166,0.6783
167,0.6801
168,0.6798
169,0.6796
170,0.6805
171,0.6816
172,0.6818
173,0.6816
174,0.6825
175,0.6834
176,0.6836
177,0.6840
178,0.6840
179,0.6845
180,0.6853
181,0.6851
182,0.6865
183,0.6865
184,0.6867
185,0.6867
186,0.6878
187,0.6887
188,0.6898
189,0.6904
190,0.6911
191,0.6911
192,0.6926
193,0.6933
194,0.6946
195,0.6944
196,0.6944
197,0.6953
198,0.6957
199,0.6962
200,0.6962
201,0.6964
202,0.6964
203,0.6964
204,0.6968
205,0.6977
206,0.6992
207,0.6999
208,0.7012
209,0.7008
210,0.7004
211,0.7001
212,0.7008
213,0.7006
214,0.7010
215,0.7019
216,0.7019
217,0.7019
218,0.7019
219,0.7021
220,0.7012
221,0.7010
222,0.7006
223,0.7008
224,0.7019
225,0.7023
226,0.7026
227,0.7017
228,0.7019
229,0.7021
230,0.7023
231,0.7032
232,0.7028
233,0.7032
234,0.7041
235,0.7041
236,0.7048
237,0.7050
238,0.7054
239,0.7061
240,0.7054
241,0.7054
242,0.7052
243,0.7059
244,0.7054
245,0.7056
246,0.7059
247,0.7070
248,0.7074
249,0.7083
250,0.7096
251,0.7096
252,0.7101
253,0.7090
254,0.7098
255,0.7101
256,0.7105
257,0.7107
258,0.7114
259,0.7109
260,0.7107
261,0.7118
262,0.7114
263,0.7116
264,0.7118
265,0.7120
266,0.7120
267,0.7123
268,0.7116
269,0.7125
270,0.7125
271,0.7129
272,0.7127
273,0.7127
274,0.7136
275,0.7129
276,0.7132
277,0.7132
278,0.7127
279,0.7134
280,0.7132
281,0.7140
282,0.7143
283,0.7147
284,0.7147
285,0.7156
286,0.7143
287,0.7138
288,0.7143
289,0.7138
290,0.7134
291,0.7136
292,0.7138
293,0.7154
294,0.7158
295,0.7169
296,0.7169
297,0.7180
298,0.7180
299,0.7180
300,0.7173
301,0.7165
302,0.7167
303,0.7158
304,0.7156
305,0.7149
306,0.7151
307,0.7156
308,0.7162
309,0.7162
310,0.7167
311,0.7160
312,0.7147
313,0.7149
314,0.7169
315,0.7176
316,0.7178
317,0.7171
318,0.7171
319,0.7182
320,0.7178
321,0.7178
322,0.7180
323,0.7184
324,0.7178
325,0.7173
326,0.7182
327,0.7182
328,0.7176
329,0.7178
330,0.7180
331,0.7171
332,0.7171
333,0.7178
334,0.7182
335,0.7173
336,0.7173
337,0.7182
338,0.7182
339,0.7193
340,0.7189
341,0.7189
342,0.7189
343,0.7187
344,0.7176
345,0.7184
346,0.7173
347,0.7167
348,0.7173
349,0.7180
350,0.7180
351,0.7189
352,0.7195
353,0.7187
354,0.7182
355,0.7195
356,0.7204
357,0.7211
358,0.7218
359,0.7218
360,0.7211
361,0.7215
362,0.7213
363,0.7209
364,0.7207
365,0.7213
366,0.7215
367,0.7220
368,0.7220
369,0.7218
370,0.7218
371,0.7218
372,0.7222
373,0.7213
374,0.7211
375,0.7202
376,0.7198
377,0.7189
378,0.7193
379,0.7187
380,0.7187
381,0.7202
382,0.7207
383,0.7207
384,0.7224
385,0.7209
386,0.7202
387,0.7204
388,0.7202
389,0.7207
390,0.7202
391,0.7207
392,0.7204
393,0.7202
394,0.7211
395,0.7224
396,0.7220
397,0.7226
398,0.7233
399,0.7224
400,0.7229
401,0.7215
402,0.7213
403,0.7218
404,0.7222
405,0.7229
406,0.7240
407,0.7246
408,0.7242
409,0.7251
410,0.7259
411,0.7255
412,0.7264
413,0.7271
414,0.7271
415,0.7277
416,0.7279
417,0.7284
418,0.7290
419,0.7277
420,0.7288
421,0.7279
422,0.7282
423,0.7277
424,0.7275
425,0.7279
426,0.7268
427,0.7268
428,0.7262
429,0.7268
430,0.7271
431,0.7262
432,0.7268
433,0.7262
434,0.7251
435,0.7244
