epoch,val_acc
0,0.2685
1,0.3899
2,0.3947
3,0.4053
4,0.4305
5,0.4334
6,0.4490
7,0.4532
8,0.4771
9,0.5000
10,0.5049
11,0.5212
12,0.5316
13,0.5404
14,0.5496
15,0.5525
16,0.5600
17,0.5695
18,0.5786
19,0.5878
20,0.5902
21,0.5940
22,0.5947
23,0.5991
24,0.6044
25,0.6057
26,0.6117
27,0.6059
28,0.6079
29,0.6123
30,0.6174
31,0.6187
32,0.6185
33,0.6218
34,0.6211
35,0.6236
36,0.6244
37,0.6251
38,0.6240
39,0.6253
40,0.6264
41,0.6295
42,0.6322
43,0.6350
44,0.6364
45,0.6361
46,0.6355
47,0.6328
48,0.6337
49,0.6333
50,0.6335
51,0.6357
52,0.6368
53,0.6375
54,0.6395
55,0.6414
56,0.6412
57,0.6423
58,0.6447
59,0.6463
60,0.6489
61,0.6523
62,0.6558
63,0.6591
64,0.6604
65,0.6606
66,0.6613
67,0.6617
68,0.6626
69,0.6617
70,0.6624
71,0.6659
72,0.6673
73,0.6688
74,0.6697
75,0.6703
76,0.6697
77,0.6717
78,0.6721
79,0.6734
80,0.6765
81,0.6774
82,0.6789
83,0.6787
84,0.6781
85,0.6785
86,0.6785
87,0.6787
88,0.6778
89,0.6794
90,0.6796
91,0.6834
92,0.6858
93,0.6873
94,0.6880
95,0.6895
96,0.6902
97,0.6904
98,0.6913
99,0.6915
100,0.6935
101,0.6957
102,0.6962
103,0.6955
104,0.6959
105,0.6959
106,0.6953
107,0.6973
108,0.6986
109,0.7015
110,0.6997
111,0.7006
112,0.7021
113,0.7030
114,0.7019
115,0.7017
116,0.7023
117,0.7039
118,0.7056
119,0.7056
120,0.7065
121,0.7059
122,0.7070
123,0.7070
124,0.7074
125,0.7094
126,0.7107
127,0.7094
128,0.7094
129,0.7094
130,0.7087
131,0.7074
132,0.7081
133,0.7083
134,0.7090
135,0.7107
136,0.7096
137,0.7094
138,0.7109
139,0.7109
140,0.7109
141,0.7114
142,0.7114
143,0.7118
144,0.7123
145,0.7123
146,0.7118
147,0.7123
148,0.7118
149,0.7109
150,0.7120
151,0.7127
152,0.7125
153,0.7114
154,0.7107
155,0.7090
156,0.7096
157,0.7109
158,0.7120
159,0.7134
160,0.7136
161,0.7116
162,0.7123
163,0.7129
164,0.7136
165,0.7140
166,0.7138
167,0.7136
168,0.7145
169,0.7160
170,0.7156
171,0.7134
172,0.7123
173,0.7120
174,0.7129
175,0.7132
176,0.7136
177,0.7140
178,0.7136
179,0.7143
180,0.7160
181,0.7165
182,0.7162
183,0.7162
184,0.7151
185,0.7165
186,0.7147
187,0.7160
188,0.7178
189,0.7171
190,0.7173
191,0.7189
192,0.7178
193,0.7160
194,0.7169
195,0.7173
196,0.7176
197,0.7180
198,0.7195
199,0.7189
200,0.7218
201,0.7220
202,0.7222
203,0.7220
204,0.7211
205,0.7198
206,0.7195
207,0.7202
208,0.7198
209,0.7191
210,0.7193
211,0.7204
212,0.7211
213,0.7200
214,0.7215
215,0.7213
216,0.7222
217,0.7237
218,0.7224
219,0.7226
220,0.7211
221,0.7231
222,0.7218
223,0.7213
224,0.7213
225,0.7226
226,0.7237
227,0.7233
228,0.7233
229,0.7218
230,0.7218
231,0.7222
232,0.7215
233,0.7226
234,0.7246
235,0.7248
236,0.7240
237,0.7244
238,0.7246
239,0.7244
240,0.7244
241,0.7253
242,0.7251
243,0.7251
244,0.7253
245,0.7251
246,0.7235
247,0.7233
248,0.7237
249,0.7248
250,0.7257
251,0.7246
252,0.7242
253,0.7240
254,0.7237
255,0.7231
256,0.7237
257,0.7255
258,0.7253
259,0.7242
260,0.7253
261,0.7266
262,0.7273
263,0.7268
264,0.7264
265,0.7273
266,0.7255
267,0.7262
268,0.7266
269,0.7268
270,0.7259
271,0.7268
272,0.7251
273,0.7253
274,0.7259
275,0.7257
276,0.7273
277,0.7264
278,0.7248
279,0.7248
280,0.7257
281,0.7275
282,0.7268
283,0.7275
284,0.7268
285,0.7273
286,0.7264
287,0.7255
288,0.7257
289,0.7259
290,0.7259
291,0.7282
292,0.7277
293,0.7275
294,0.7268
295,0.7264
296,0.7268
297,0.7257
298,0.7255
299,0.7266
300,0.7282
301,0.7282
302,0.7275
303,0.7266
304,0.7262
305,0.7253
306,0.7246
307,0.7253
308,0.7264
309,0.7277
310,0.7282
311,0.7262
312,0.7275
313,0.7264
314,0.7253
315,0.7264
316,0.7271
317,0.7282
318,0.7268
319,0.7282
320,0.7282
321,0.7262
322,0.7284
323,0.7312
324,0.7321
325,0.7323
326,0.7315
327,0.7301
328,0.7301
329,0.7282
330,0.7273
331,0.7299
332,0.7290
333,0.7301
334,0.7293
335,0.7295
336,0.7290
337,0.7286
338,0.7282
339,0.7299
340,0.7295
341,0.7297
342,0.7299
343,0.7290
344,0.7284
345,0.7297
346,0.7301
347,0.7306
348,0.7312
349,0.7310
350,0.7306
351,0.7301
352,0.7304
353,0.7310
354,0.7293
355,0.7297
356,0.7301
357,0.7306
358,0.7308
359,0.7284
360,0.7301
361,0.7290
362,0.7295
363,0.7295
364,0.7288
365,0.7286
366,0.7306
367,0.7290
368,0.7286
369,0.7273
370,0.7273
371,0.7268
372,0.7277
373,0.7286
374,0.7299
375,0.7304
