epoch,val_acc
0,0.1973
1,0.3135
2,0.3590
3,0.4102
4,0.4113
5,0.4111
6,0.4373
7,0.4625
8,0.4771
9,0.4768
10,0.4797
11,0.4885
12,0.4980
13,0.5084
14,0.5300
15,0.5388
16,0.5424
17,0.5510
18,0.5655
19,0.5768
20,0.5880
21,0.5955
22,0.6059
23,0.6143
24,0.6225
25,0.6284
26,0.6326
27,0.6406
28,0.6485
29,0.6481
30,0.6498
31,0.6564
32,0.6571
33,0.6617
34,0.6657
35,0.6717
36,0.6745
37,0.6772
38,0.6770
39,0.6803
40,0.6851
41,0.6895
42,0.6911
43,0.6964
44,0.6948
45,0.6988
46,0.7008
47,0.7028
48,0.7056
49,0.7074
50,0.7083
51,0.7096
52,0.7118
53,0.7169
54,0.7136
55,0.7140
56,0.7171
57,0.7209
58,0.7189
59,0.7200
60,0.7213
61,0.7202
62,0.7218
63,0.7204
64,0.7218
65,0.7235
66,0.7222
67,0.7231
68,0.7264
69,0.7273
70,0.7253
71,0.7248
72,0.7275
73,0.7257
74,0.7259
75,0.7259
76,0.7255
77,0.7246
78,0.7240
79,0.7257
80,0.7251
81,0.7255
82,0.7231
83,0.7244
84,0.7233
85,0.7262
86,0.7244
87,0.7253
88,0.7259
89,0.7288
90,0.7317
91,0.7288
92,0.7275
93,0.7268
94,0.7286
95,0.7266
96,0.7284
97,0.7295
98,0.7299
99,0.7315
100,0.7288
101,0.7295
102,0.7286
103,0.7284
104,0.7295
105,0.7284
106,0.7282
107,0.7308
108,0.7293
109,0.7268
110,0.7297
111,0.7290
112,0.7301
113,0.7284
114,0.7284
115,0.7317
116,0.7299
117,0.7290
118,0.7315
119,0.7304
120,0.7268
121,0.7284
122,0.7282
123,0.7306
124,0.7277
125,0.7279
126,0.7297
127,0.7326
128,0.7288
129,0.7308
130,0.7341
131,0.7330
132,0.7319
133,0.7317
134,0.7326
135,0.7339
136,0.7332
137,0.7346
138,0.7337
139,0.7343
140,0.7346
141,0.7323
142,0.7341
143,0.7346
144,0.7328
145,0.7312
146,0.7306
147,0.7315
148,0.7337
149,0.7343
150,0.7330
151,0.7326
152,0.7341
153,0.7332
154,0.7348
155,0.7363
156,0.7381
157,0.7363
158,0.7394
159,0.7390
160,0.7370
161,0.7350
162,0.7352
163,0.7343
164,0.7357
165,0.7354
166,0.7361
167,0.7352
168,0.7372
169,0.7357
170,0.7354
171,0.7339
172,0.7339
173,0.7357
174,0.7361
175,0.7328
176,0.7354
177,0.7339
178,0.7343
179,0.7343
180,0.7346
181,0.7335
182,0.7339
183,0.7343
184,0.7350
185,0.7350
186,0.7330
187,0.7335
188,0.7343
189,0.7330
190,0.7319
191,0.7337
192,0.7368
193,0.7350
194,0.7337
195,0.7346
196,0.7341
197,0.7330
198,0.7326
199,0.7368
200,0.7363
201,0.7312
202,0.7317
203,0.7379
204,0.7357
205,0.7370
206,0.7363
207,0.7385
208,0.7357
