epoch,val_acc
0,0.1002
1,0.1551
2,0.1798
3,0.2070
4,0.2312
5,0.2538
6,0.2754
7,0.2904
8,0.3038
9,0.3226
10,0.3385
11,0.3550
12,0.3692
13,0.3813
14,0.3945
15,0.4053
16,0.4177
17,0.4287
18,0.4378
19,0.4468
20,0.4576
21,0.4594
22,0.4603
23,0.4643
24,0.4695
25,0.4726
26,0.4808
27,0.4879
28,0.4965
29,0.5011
30,0.5071
31,0.5095
32,0.5146
33,0.5216
34,0.5287
35,0.5351
36,0.5386
37,0.5419
38,0.5441
39,0.5457
40,0.5508
41,0.5547
42,0.5596
43,0.5649
44,0.5666
45,0.5688
46,0.5719
47,0.5759
48,0.5788
49,0.5821
50,0.5850
51,0.5905
52,0.5927
53,0.5958
54,0.5989
55,0.6033
56,0.6083
57,0.6101
58,0.6121
59,0.6154
60,0.6172
61,0.6196
62,0.6225
63,0.6253
64,0.6286
65,0.6311
66,0.6324
67,0.6348
68,0.6377
69,0.6379
70,0.6403
71,0.6423
72,0.6439
73,0.6467
74,0.6496
75,0.6489
76,0.6516
77,0.6531
78,0.6540
79,0.6547
80,0.6564
81,0.6578
82,0.6600
83,0.6631
84,0.6624
85,0.6635
86,0.6631
87,0.6648
88,0.6653
89,0.6664
90,0.6662
91,0.6712
92,0.6723
93,0.6721
94,0.6730
95,0.6723
96,0.6756
97,0.6774
98,0.6778
99,0.6778
100,0.6781
101,0.6789
102,0.6801
103,0.6789
104,0.6792
105,0.6825
106,0.6829
107,0.6842
108,0.6827
109,0.6823
110,0.6829
111,0.6856
112,0.6853
113,0.6860
114,0.6876
115,0.6884
116,0.6891
117,0.6900
118,0.6906
119,0.6891
120,0.6906
121,0.6906
122,0.6920
123,0.6926
124,0.6920
125,0.6935
126,0.6935
127,0.6951
128,0.6968
129,0.6962
130,0.6962
131,0.6962
132,0.6973
133,0.6973
134,0.6999
135,0.6986
136,0.7001
137,0.7012
138,0.6999
139,0.6992
140,0.6986
141,0.7023
142,0.7037
143,0.7023
144,0.7023
145,0.7030
146,0.7032
147,0.7028
148,0.7017
149,0.7043
150,0.7034
151,0.7037
152,0.7037
153,0.7056
154,0.7059
155,0.7048
156,0.7043
157,0.7056
158,0.7039
159,0.7037
160,0.7039
161,0.7061
162,0.7068
163,0.7065
164,0.7065
165,0.7050
166,0.7061
167,0.7076
168,0.7059
169,0.7068
170,0.7063
171,0.7054
172,0.7070
173,0.7081
174,0.7068
175,0.7068
176,0.7087
177,0.7081
178,0.7063
179,0.7065
180,0.7085
181,0.7094
182,0.7096
183,0.7085
184,0.7072
185,0.7092
186,0.7101
187,0.7103
188,0.7054
189,0.7085
190,0.7090
191,0.7076
192,0.7098
193,0.7092
194,0.7096
195,0.7105
196,0.7085
197,0.7098
198,0.7107
199,0.7096
200,0.7116
201,0.7114
202,0.7109
203,0.7107
204,0.7107
205,0.7120
206,0.7105
207,0.7109
208,0.7127
209,0.7134
210,0.7127
211,0.7116
212,0.7158
213,0.7136
214,0.7123
215,0.7123
216,0.7143
217,0.7156
218,0.7138
219,0.7143
220,0.7134
221,0.7140
222,0.7132
223,0.7125
224,0.7116
225,0.7134
226,0.7140
227,0.7132
228,0.7125
229,0.7123
230,0.7134
231,0.7145
232,0.7147
233,0.7127
234,0.7125
235,0.7132
236,0.7140
237,0.7143
238,0.7143
239,0.7134
240,0.7140
241,0.7147
242,0.7140
243,0.7156
244,0.7134
245,0.7158
246,0.7151
247,0.7149
248,0.7171
249,0.7156
250,0.7154
251,0.7145
252,0.7147
253,0.7171
254,0.7160
255,0.7165
256,0.7176
257,0.7169
258,0.7180
259,0.7167
260,0.7162
261,0.7195
262,0.7182
263,0.7176
264,0.7158
265,0.7145
266,0.7154
267,0.7178
268,0.7167
269,0.7167
270,0.7156
271,0.7151
272,0.7178
273,0.7151
274,0.7160
275,0.7158
276,0.7165
277,0.7184
278,0.7167
279,0.7160
280,0.7173
281,0.7193
282,0.7184
283,0.7176
284,0.7160
285,0.7176
286,0.7202
287,0.7215
288,0.7200
289,0.7187
290,0.7180
291,0.7178
292,0.7165
293,0.7184
294,0.7204
295,0.7207
296,0.7187
297,0.7187
298,0.7191
299,0.7187
300,0.7182
301,0.7167
302,0.7173
303,0.7173
304,0.7195
305,0.7176
306,0.7171
307,0.7169
308,0.7180
309,0.7178
310,0.7184
311,0.7189
312,0.7167
313,0.7171
314,0.7182
315,0.7176
