epoch,val_acc
0,0.1445
1,0.1410
2,0.1408
3,0.1463
4,0.1882
5,0.2482
6,0.2800
7,0.2917
8,0.2941
9,0.2999
10,0.3087
11,0.3197
12,0.3316
13,0.3471
14,0.3650
15,0.3789
16,0.3947
17,0.4071
18,0.4212
19,0.4389
20,0.4545
21,0.4689
22,0.4806
23,0.4943
24,0.5044
25,0.5152
26,0.5216
27,0.5260
28,0.5318
29,0.5404
30,0.5463
31,0.5571
32,0.5741
33,0.5823
34,0.5905
35,0.5975
36,0.6086
37,0.6185
38,0.6236
39,0.6267
40,0.6275
41,0.6289
42,0.6315
43,0.6346
44,0.6383
45,0.6428
46,0.6483
47,0.6509
48,0.6525
49,0.6538
50,0.6534
51,0.6536
52,0.6556
53,0.6556
54,0.6556
55,0.6556
56,0.6573
57,0.6602
58,0.6637
59,0.6646
60,0.6659
61,0.6673
62,0.6681
63,0.6684
64,0.6688
65,0.6692
66,0.6701
67,0.6721
68,0.6719
69,0.6723
70,0.6732
71,0.6734
72,0.6728
73,0.6750
74,0.6737
75,0.6752
76,0.6759
77,0.6761
78,0.6767
79,0.6759
80,0.6765
81,0.6783
82,0.6772
83,0.6767
84,0.6776
85,0.6792
86,0.6805
87,0.6818
88,0.6818
89,0.6823
90,0.6805
91,0.6816
92,0.6805
93,0.6820
94,0.6816
95,0.6820
96,0.6818
97,0.6831
98,0.6823
99,0.6836
100,0.6825
101,0.6831
102,0.6831
103,0.6812
104,0.6823
105,0.6807
106,0.6823
107,0.6834
108,0.6836
109,0.6851
110,0.6853
111,0.6862
112,0.6860
113,0.6851
114,0.6845
115,0.6876
116,0.6862
117,0.6865
118,0.6869
119,0.6893
120,0.6882
121,0.6871
122,0.6860
123,0.6882
124,0.6891
125,0.6906
126,0.6906
127,0.6889
128,0.6884
129,0.6898
130,0.6898
131,0.6895
132,0.6898
133,0.6902
134,0.6922
135,0.6915
136,0.6917
137,0.6900
138,0.6904
139,0.6911
140,0.6929
141,0.6933
142,0.6937
143,0.6913
144,0.6902
145,0.6906
146,0.6929
147,0.6944
148,0.6935
149,0.6924
150,0.6902
151,0.6931
152,0.6942
153,0.6948
154,0.6948
155,0.6955
156,0.6957
157,0.6975
158,0.6981
159,0.6995
160,0.6986
161,0.6955
162,0.6922
163,0.6957
164,0.6962
165,0.6964
166,0.6957
167,0.6931
168,0.6931
169,0.6966
170,0.6977
171,0.6977
172,0.6966
173,0.6946
174,0.6948
175,0.6962
176,0.6970
177,0.6970
178,0.6944
179,0.6946
180,0.6957
181,0.6964
182,0.6964
183,0.6970
184,0.6962
185,0.6942
186,0.6968
187,0.7006
188,0.7004
189,0.6997
190,0.6981
191,0.6970
192,0.6995
193,0.7006
194,0.6999
195,0.7004
196,0.6968
197,0.6953
198,0.6977
199,0.6984
200,0.6992
201,0.6992
202,0.7001
203,0.7015
204,0.7006
205,0.7001
206,0.7006
207,0.7006
208,0.7019
209,0.7026
210,0.7023
211,0.7019
212,0.6999
213,0.6995
214,0.7001
215,0.7010
216,0.7015
217,0.7017
218,0.7021
219,0.7008
220,0.7026
221,0.7026
222,0.7032
223,0.7030
224,0.7023
225,0.7034
226,0.7021
227,0.7008
228,0.6995
229,0.6979
230,0.6981
231,0.6999
232,0.6995
233,0.6986
234,0.6979
235,0.6988
236,0.7004
237,0.7015
238,0.7012
239,0.7004
240,0.7008
241,0.7021
242,0.6999
243,0.7017
244,0.7019
245,0.7026
246,0.7019
247,0.7017
248,0.7028
249,0.7026
250,0.7041
251,0.7061
252,0.7059
253,0.7081
254,0.7070
255,0.7065
256,0.7072
257,0.7076
258,0.7059
259,0.7045
260,0.7028
261,0.7034
262,0.7039
263,0.7041
264,0.7045
265,0.7043
266,0.7085
267,0.7072
268,0.7068
269,0.7072
270,0.7074
271,0.7056
272,0.7061
273,0.7079
274,0.7090
275,0.7094
276,0.7079
277,0.7054
278,0.7048
279,0.7041
280,0.7079
281,0.7072
282,0.7079
283,0.7048
284,0.7030
285,0.7059
286,0.7074
287,0.7063
288,0.7068
289,0.7072
290,0.7061
291,0.7074
292,0.7065
293,0.7070
294,0.7056
295,0.7054
296,0.7050
297,0.7068
298,0.7081
299,0.7054
300,0.7063
301,0.7061
302,0.7061
303,0.7063
304,0.7056
305,0.7048
306,0.7056
307,0.7072
308,0.7068
309,0.7076
310,0.7074
311,0.7085
312,0.7090
313,0.7090
314,0.7068
315,0.7054
316,0.7070
317,0.7081
318,0.7101
319,0.7101
320,0.7083
321,0.7087
322,0.7070
323,0.7050
324,0.7068
325,0.7061
326,0.7056
327,0.7065
328,0.7070
329,0.7063
330,0.7068
331,0.7054
332,0.7065
333,0.7072
334,0.7087
335,0.7105
336,0.7083
337,0.7083
338,0.7112
339,0.7103
340,0.7092
341,0.7072
342,0.7094
343,0.7125
344,0.7116
345,0.7085
346,0.7085
347,0.7096
348,0.7103
349,0.7101
350,0.7083
351,0.7092
352,0.7096
353,0.7070
354,0.7087
355,0.7096
356,0.7098
357,0.7101
358,0.7107
359,0.7105
360,0.7087
361,0.7094
362,0.7076
363,0.7074
364,0.7103
365,0.7103
366,0.7092
367,0.7096
368,0.7087
369,0.7079
370,0.7059
371,0.7085
372,0.7083
373,0.7085
374,0.7094
375,0.7101
376,0.7118
377,0.7085
378,0.7107
379,0.7094
380,0.7083
381,0.7074
382,0.7070
383,0.7081
384,0.7068
385,0.7065
386,0.7068
387,0.7087
388,0.7107
389,0.7114
390,0.7105
391,0.7092
392,0.7112
393,0.7116
