epoch,val_acc
0,0.1101
1,0.1147
2,0.1176
3,0.1222
4,0.1251
5,0.1289
6,0.1320
7,0.1377
8,0.1483
9,0.1569
10,0.1717
11,0.1818
12,0.1865
13,0.1917
14,0.1953
15,0.1995
16,0.2039
17,0.2065
18,0.2076
19,0.2101
20,0.2118
21,0.2145
22,0.2143
23,0.2129
24,0.2140
25,0.2118
26,0.2103
27,0.2101
28,0.2085
29,0.2083
30,0.2056
31,0.2037
32,0.2021
33,0.1999
34,0.2004
35,0.1995
36,0.1975
37,0.1977
38,0.1979
39,0.1995
40,0.2017
41,0.2008
42,0.2034
43,0.2052
44,0.2061
45,0.2079
46,0.2107
47,0.2132
48,0.2154
49,0.2189
50,0.2222
51,0.2240
52,0.2264
53,0.2275
54,0.2282
55,0.2310
56,0.2361
57,0.2416
58,0.2462
59,0.2518
60,0.2568
61,0.2590
62,0.2621
63,0.2652
64,0.2699
65,0.2729
66,0.2782
67,0.2809
68,0.2844
69,0.2888
70,0.2928
71,0.2966
72,0.3008
73,0.3047
74,0.3063
75,0.3102
76,0.3133
77,0.3149
78,0.3162
79,0.3184
80,0.3233
81,0.3244
82,0.3272
83,0.3303
84,0.3319
85,0.3341
86,0.3363
87,0.3387
88,0.3422
89,0.3460
90,0.3493
91,0.3506
92,0.3539
93,0.3561
94,0.3581
95,0.3621
96,0.3636
97,0.3661
98,0.3672
99,0.3698
100,0.3720
101,0.3762
102,0.3784
103,0.3826
104,0.3859
105,0.3888
106,0.3923
107,0.3952
108,0.3976
109,0.3996
110,0.4018
111,0.4047
112,0.4062
113,0.4075
114,0.4089
115,0.4102
116,0.4128
117,0.4153
118,0.4173
119,0.4179
120,0.4190
121,0.4208
122,0.4219
123,0.4248
124,0.4261
125,0.4278
126,0.4285
127,0.4303
128,0.4318
129,0.4316
130,0.4334
131,0.4342
132,0.4360
133,0.4369
134,0.4387
135,0.4404
136,0.4411
137,0.4422
138,0.4433
139,0.4448
140,0.4459
141,0.4462
142,0.4481
143,0.4488
144,0.4495
145,0.4510
146,0.4523
147,0.4539
148,0.4554
149,0.4572
150,0.4592
151,0.4596
152,0.4609
153,0.4616
154,0.4629
155,0.4647
156,0.4660
157,0.4676
158,0.4693
159,0.4704
160,0.4724
161,0.4733
162,0.4744
163,0.4746
164,0.4757
165,0.4766
166,0.4766
167,0.4777
168,0.4786
169,0.4788
170,0.4808
171,0.4819
172,0.4828
173,0.4837
174,0.4843
175,0.4843
176,0.4868
177,0.4876
178,0.4890
179,0.4907
180,0.4916
181,0.4929
182,0.4945
183,0.4949
184,0.4951
185,0.4974
186,0.4987
187,0.4998
188,0.5011
189,0.5029
190,0.5031
191,0.5035
192,0.5044
193,0.5062
194,0.5071
195,0.5084
196,0.5093
197,0.5097
198,0.5108
199,0.5115
200,0.5121
201,0.5126
202,0.5132
203,0.5141
204,0.5143
205,0.5148
206,0.5154
207,0.5150
208,0.5157
209,0.5168
210,0.5172
211,0.5177
212,0.5190
213,0.5192
214,0.5196
215,0.5218
216,0.5234
217,0.5249
218,0.5263
219,0.5265
220,0.5265
221,0.5267
222,0.5289
223,0.5293
224,0.5298
225,0.5298
226,0.5307
227,0.5320
228,0.5322
229,0.5327
230,0.5351
231,0.5357
232,0.5357
233,0.5371
234,0.5382
235,0.5399
236,0.5404
237,0.5402
238,0.5408
239,0.5421
240,0.5446
241,0.5459
242,0.5466
243,0.5477
244,0.5492
245,0.5494
246,0.5508
247,0.5523
248,0.5532
249,0.5536
250,0.5552
251,0.5565
252,0.5574
253,0.5580
254,0.5585
255,0.5594
256,0.5596
257,0.5609
258,0.5616
259,0.5627
260,0.5635
261,0.5647
262,0.5655
263,0.5662
264,0.5664
265,0.5675
266,0.5691
267,0.5697
268,0.5704
269,0.5719
270,0.5735
271,0.5748
272,0.5755
273,0.5768
274,0.5783
275,0.5799
276,0.5805
277,0.5814
278,0.5830
279,0.5838
280,0.5850
281,0.5865
282,0.5874
283,0.5874
284,0.5883
285,0.5894
286,0.5896
287,0.5894
288,0.5900
289,0.5907
290,0.5916
291,0.5918
292,0.5929
293,0.5938
294,0.5944
295,0.5949
296,0.5966
297,0.5980
298,0.5986
299,0.5986
300,0.5993
301,0.5997
302,0.6002
303,0.6013
304,0.6024
305,0.6028
306,0.6033
307,0.6035
308,0.6046
309,0.6044
310,0.6050
311,0.6053
312,0.6050
313,0.6059
314,0.6064
315,0.6079
316,0.6083
317,0.6088
318,0.6092
319,0.6101
320,0.6110
321,0.6121
322,0.6125
323,0.6130
324,0.6136
325,0.6130
326,0.6141
327,0.6156
328,0.6165
329,0.6172
330,0.6180
331,0.6180
332,0.6176
333,0.6176
334,0.6180
335,0.6194
336,0.6192
337,0.6198
338,0.6203
339,0.6209
340,0.6205
341,0.6211
342,0.6231
343,0.6236
344,0.6233
345,0.6238
346,0.6253
347,0.6258
348,0.6260
349,0.6262
350,0.6264
351,0.6269
352,0.6267
353,0.6273
354,0.6282
355,0.6286
356,0.6295
357,0.6297
358,0.6306
359,0.6308
360,0.6308
361,0.6311
362,0.6317
363,0.6322
364,0.6326
365,0.6324
366,0.6331
367,0.6331
368,0.6335
369,0.6337
370,0.6344
371,0.6346
372,0.6359
373,0.6368
374,0.6370
375,0.6372
376,0.6377
377,0.6392
378,0.6397
379,0.6399
380,0.6392
381,0.6392
382,0.6392
383,0.6395
384,0.6395
385,0.6397
386,0.6399
387,0.6401
388,0.6406
389,0.6410
390,0.6412
391,0.6414
392,0.6419
393,0.6419
394,0.6421
395,0.6425
396,0.6425
397,0.6434
398,0.6441
399,0.6439
400,0.6445
401,0.6443
402,0.6434
403,0.6441
404,0.6443
405,0.6443
406,0.6452
407,0.6456
408,0.6456
409,0.6461
410,0.6463
411,0.6467
412,0.6463
413,0.6463
414,0.6467
415,0.6476
416,0.6476
417,0.6476
418,0.6478
419,0.6483
420,0.6481
421,0.6485
422,0.6487
423,0.6489
424,0.6496
425,0.6500
426,0.6507
427,0.6514
428,0.6509
429,0.6514
430,0.6518
431,0.6523
432,0.6525
433,0.6529
434,0.6531
435,0.6527
436,0.6520
437,0.6520
438,0.6523
439,0.6520
440,0.6527
441,0.6527
442,0.6534
443,0.6540
444,0.6542
445,0.6545
446,0.6549
447,0.6553
448,0.6553
449,0.6556
450,0.6558
451,0.6556
452,0.6558
453,0.6556
454,0.6553
455,0.6558
456,0.6558
457,0.6558
458,0.6558
459,0.6560
460,0.6562
461,0.6564
462,0.6567
463,0.6571
464,0.6571
465,0.6573
466,0.6575
467,0.6575
468,0.6571
469,0.6580
470,0.6584
471,0.6582
472,0.6582
473,0.6582
474,0.6586
475,0.6584
476,0.6584
477,0.6586
478,0.6584
479,0.6582
480,0.6580
481,0.6582
482,0.6586
483,0.6586
484,0.6593
485,0.6600
486,0.6602
487,0.6606
488,0.6609
489,0.6611
490,0.6609
491,0.6611
492,0.6613
493,0.6615
494,0.6615
495,0.6615
496,0.6617
497,0.6620
498,0.6620
499,0.6622
