epoch,val_acc
0,0.1004
1,0.1209
2,0.1174
3,0.1258
4,0.1436
5,0.1383
6,0.1571
7,0.2015
8,0.1884
9,0.1977
10,0.2204
11,0.2549
12,0.2763
13,0.2899
14,0.2919
15,0.2855
16,0.2789
17,0.2782
18,0.2833
19,0.2977
20,0.3078
21,0.3180
22,0.3327
23,0.3422
24,0.3519
25,0.3610
26,0.3658
27,0.3689
28,0.3780
29,0.3855
30,0.3952
31,0.4025
32,0.4062
33,0.4173
34,0.4212
35,0.4274
36,0.4353
37,0.4455
38,0.4539
39,0.4594
40,0.4651
41,0.4711
42,0.4759
43,0.4786
44,0.4839
45,0.4872
46,0.4916
47,0.4962
48,0.5009
49,0.5060
50,0.5057
51,0.5093
52,0.5104
53,0.5110
54,0.5172
55,0.5207
56,0.5252
57,0.5307
58,0.5318
59,0.5331
60,0.5366
61,0.5417
62,0.5463
63,0.5510
64,0.5519
65,0.5521
66,0.5569
67,0.5600
68,0.5633
69,0.5677
70,0.5691
71,0.5706
72,0.5761
73,0.5808
74,0.5841
75,0.5874
76,0.5898
77,0.5944
78,0.5962
79,0.6011
80,0.6028
81,0.6053
82,0.6064
83,0.6099
84,0.6103
85,0.6121
86,0.6178
87,0.6178
88,0.6198
89,0.6220
90,0.6214
91,0.6251
92,0.6269
93,0.6289
94,0.6322
95,0.6331
96,0.6357
97,0.6386
98,0.6406
99,0.6423
100,0.6443
101,0.6461
102,0.6465
103,0.6474
104,0.6496
105,0.6507
106,0.6489
107,0.6516
108,0.6531
109,0.6549
110,0.6564
111,0.6573
112,0.6584
113,0.6582
114,0.6595
115,0.6602
116,0.6602
117,0.6611
118,0.6635
119,0.6637
120,0.6646
121,0.6664
122,0.6673
123,0.6677
124,0.6686
125,0.6686
126,0.6706
127,0.6714
128,0.6719
129,0.6714
130,0.6719
131,0.6717
132,0.6737
133,0.6752
134,0.6752
135,0.6752
136,0.6778
137,0.6772
138,0.6778
139,0.6772
140,0.6778
141,0.6776
142,0.6798
143,0.6798
144,0.6798
145,0.6803
146,0.6803
147,0.6818
148,0.6816
149,0.6803
150,0.6831
151,0.6836
152,0.6827
153,0.6818
154,0.6840
155,0.6838
156,0.6834
157,0.6834
158,0.6860
159,0.6856
160,0.6845
161,0.6851
162,0.6871
163,0.6845
164,0.6871
165,0.6858
166,0.6876
167,0.6889
168,0.6884
169,0.6878
170,0.6909
171,0.6913
172,0.6920
173,0.6902
174,0.6920
175,0.6933
176,0.6911
177,0.6933
178,0.6922
179,0.6957
180,0.6968
181,0.6942
182,0.6944
183,0.6959
184,0.6970
185,0.6953
186,0.6931
187,0.6931
188,0.6957
189,0.6988
190,0.6984
191,0.6973
192,0.6977
193,0.6979
194,0.6959
195,0.6977
196,0.6979
197,0.7006
198,0.6997
199,0.6997
200,0.6992
201,0.6997
202,0.6997
203,0.6970
204,0.6999
205,0.7010
206,0.7019
207,0.7028
208,0.7008
209,0.7017
210,0.6992
211,0.7015
212,0.7010
213,0.7001
214,0.7023
215,0.7032
216,0.7037
217,0.7041
218,0.7045
219,0.7030
220,0.7012
221,0.7034
222,0.7056
223,0.7048
224,0.7026
225,0.7043
226,0.7050
227,0.7045
228,0.7034
229,0.7034
230,0.7068
231,0.7061
232,0.7045
233,0.7034
234,0.7052
235,0.7045
236,0.7043
237,0.7043
238,0.7052
239,0.7054
240,0.7063
241,0.7052
242,0.7037
243,0.7056
244,0.7068
245,0.7059
246,0.7045
247,0.7061
248,0.7063
249,0.7063
250,0.7068
251,0.7079
252,0.7079
253,0.7072
254,0.7072
255,0.7083
256,0.7092
