epoch,val_acc
0,0.0737
1,0.0918
2,0.0997
3,0.1044
4,0.1044
5,0.1119
6,0.1174
7,0.1242
8,0.1297
9,0.1337
10,0.1392
11,0.1428
12,0.1432
13,0.1472
14,0.1465
15,0.1483
16,0.1498
17,0.1523
18,0.1564
19,0.1615
20,0.1697
21,0.1789
22,0.1898
23,0.2101
24,0.2312
25,0.2478
26,0.2597
27,0.2732
28,0.2743
29,0.2738
30,0.2723
31,0.2701
32,0.2712
33,0.2743
34,0.2811
35,0.2932
36,0.3019
37,0.3138
38,0.3259
39,0.3332
40,0.3418
41,0.3469
42,0.3504
43,0.3550
44,0.3601
45,0.3650
46,0.3696
47,0.3758
48,0.3811
49,0.3859
50,0.3912
51,0.3961
52,0.4023
53,0.4071
54,0.4126
55,0.4206
56,0.4239
57,0.4289
58,0.4329
59,0.4369
60,0.4413
61,0.4440
62,0.4462
63,0.4506
64,0.4554
65,0.4579
66,0.4603
67,0.4645
68,0.4671
69,0.4689
70,0.4720
71,0.4742
72,0.4775
73,0.4806
74,0.4828
75,0.4857
76,0.4887
77,0.4912
78,0.4936
79,0.4969
80,0.4976
81,0.4996
82,0.5009
83,0.5024
84,0.5049
85,0.5066
86,0.5086
87,0.5121
88,0.5135
89,0.5143
90,0.5148
91,0.5148
92,0.5148
93,0.5183
94,0.5199
95,0.5207
96,0.5214
97,0.5223
98,0.5232
99,0.5249
100,0.5263
101,0.5271
102,0.5293
103,0.5316
104,0.5344
105,0.5364
106,0.5373
107,0.5382
108,0.5391
109,0.5406
110,0.5408
111,0.5435
112,0.5441
113,0.5446
114,0.5450
115,0.5474
116,0.5483
117,0.5508
118,0.5534
119,0.5560
120,0.5583
121,0.5594
122,0.5611
123,0.5609
124,0.5629
125,0.5655
126,0.5666
127,0.5693
128,0.5708
129,0.5733
130,0.5741
131,0.5750
132,0.5770
133,0.5779
134,0.5799
135,0.5808
136,0.5816
137,0.5827
138,0.5836
139,0.5852
140,0.5858
141,0.5872
142,0.5891
143,0.5898
144,0.5902
145,0.5918
146,0.5938
147,0.5942
148,0.5958
149,0.5977
150,0.5991
151,0.6008
152,0.6022
153,0.6028
154,0.6033
155,0.6048
156,0.6068
157,0.6081
158,0.6086
159,0.6088
160,0.6099
161,0.6123
162,0.6134
163,0.6143
164,0.6139
165,0.6141
166,0.6145
167,0.6152
168,0.6165
169,0.6172
170,0.6176
171,0.6185
172,0.6211
173,0.6209
174,0.6218
175,0.6233
176,0.6240
177,0.6247
178,0.6262
179,0.6262
180,0.6278
181,0.6293
182,0.6304
183,0.6300
184,0.6308
185,0.6308
186,0.6304
187,0.6311
188,0.6313
189,0.6322
190,0.6328
191,0.6344
192,0.6355
193,0.6368
194,0.6375
195,0.6392
196,0.6397
197,0.6399
198,0.6403
199,0.6410
200,0.6417
201,0.6419
202,0.6423
203,0.6425
204,0.6432
205,0.6434
206,0.6445
207,0.6450
208,0.6450
209,0.6459
210,0.6450
211,0.6445
212,0.6452
213,0.6470
214,0.6463
215,0.6472
216,0.6474
217,0.6478
218,0.6485
219,0.6487
220,0.6474
221,0.6478
222,0.6489
223,0.6489
224,0.6505
225,0.6509
226,0.6507
227,0.6509
228,0.6514
229,0.6509
230,0.6518
231,0.6518
232,0.6514
233,0.6523
234,0.6525
235,0.6531
236,0.6540
237,0.6547
238,0.6556
239,0.6562
240,0.6564
241,0.6571
242,0.6575
243,0.6589
244,0.6589
245,0.6586
246,0.6589
247,0.6595
248,0.6595
249,0.6593
250,0.6602
251,0.6606
252,0.6606
253,0.6600
254,0.6606
255,0.6611
256,0.6609
257,0.6624
258,0.6624
259,0.6620
260,0.6626
261,0.6620
262,0.6622
263,0.6628
264,0.6626
265,0.6635
266,0.6648
267,0.6642
268,0.6648
269,0.6648
270,0.6655
271,0.6668
272,0.6675
273,0.6681
274,0.6679
275,0.6662
276,0.6653
277,0.6659
278,0.6666
279,0.6679
280,0.6679
281,0.6681
282,0.6695
283,0.6695
284,0.6699
285,0.6697
286,0.6703
287,0.6701
288,0.6701
289,0.6690
290,0.6695
291,0.6695
292,0.6690
293,0.6695
294,0.6701
295,0.6714
296,0.6719
297,0.6708
298,0.6710
299,0.6701
300,0.6697
301,0.6697
302,0.6697
303,0.6706
304,0.6719
305,0.6728
306,0.6737
307,0.6728
308,0.6730
309,0.6732
310,0.6726
311,0.6726
312,0.6728
313,0.6734
314,0.6734
315,0.6732
316,0.6734
317,0.6741
318,0.6730
319,0.6730
320,0.6726
321,0.6730
322,0.6737
323,0.6734
324,0.6741
325,0.6756
326,0.6761
327,0.6761
328,0.6754
329,0.6748
330,0.6750
331,0.6763
332,0.6761
333,0.6761
334,0.6754
335,0.6752
336,0.6759
337,0.6763
338,0.6767
339,0.6776
340,0.6774
341,0.6781
342,0.6785
343,0.6789
344,0.6778
345,0.6776
346,0.6776
347,0.6796
348,0.6787
349,0.6796
350,0.6794
351,0.6787
352,0.6794
353,0.6792
354,0.6789
355,0.6785
356,0.6803
357,0.6789
358,0.6794
359,0.6778
360,0.6792
361,0.6805
362,0.6816
363,0.6818
364,0.6820
365,0.6816
366,0.6807
367,0.6794
368,0.6805
369,0.6820
370,0.6831
371,0.6816
372,0.6820
373,0.6836
374,0.6831
375,0.6825
376,0.6818
377,0.6820
378,0.6823
379,0.6825
380,0.6829
381,0.6829
382,0.6831
383,0.6829
384,0.6827
385,0.6825
386,0.6825
387,0.6823
388,0.6842
389,0.6845
390,0.6838
391,0.6831
392,0.6838
393,0.6831
394,0.6820
395,0.6836
396,0.6838
397,0.6851
398,0.6853
399,0.6853
400,0.6856
