epoch,val_acc
0,0.3221
1,0.3311
2,0.3468
3,0.3514
4,0.3536
5,0.3423
6,0.3446
7,0.3468
8,0.3423
9,0.3491
10,0.3559
11,0.3491
12,0.3446
13,0.3378
14,0.3491
15,0.3514
16,0.3536
17,0.3446
18,0.3446
19,0.3491
20,0.3514
21,0.3423
22,0.3446
23,0.3378
24,0.3446
25,0.3536
26,0.3468
27,0.3401
28,0.3446
29,0.3559
30,0.3581
31,0.3649
32,0.3694
33,0.3626
34,0.3626
35,0.3626
36,0.3536
37,0.3514
38,0.3468
39,0.3514
40,0.3491
41,0.3468
42,0.3536
43,0.3514
44,0.3468
45,0.3491
46,0.3514
47,0.3559
48,0.3581
49,0.3581
50,0.3604
51,0.3581
52,0.3536
53,0.3536
54,0.3559
55,0.3514
56,0.3581
57,0.3649
58,0.3626
59,0.3626
60,0.3694
61,0.3716
62,0.3694
63,0.3604
64,0.3604
65,0.3649
66,0.3626
67,0.3626
68,0.3716
69,0.3694
70,0.3716
71,0.3739
72,0.3716
73,0.3671
74,0.3649
75,0.3626
76,0.3649
77,0.3649
78,0.3626
79,0.3671
80,0.3649
81,0.3626
82,0.3559
83,0.3604
84,0.3649
85,0.3649
86,0.3671
87,0.3671
88,0.3604
89,0.3536
90,0.3559
91,0.3514
92,0.3536
93,0.3559
94,0.3581
95,0.3604
96,0.3559
97,0.3446
98,0.3423
99,0.3446
100,0.3423
101,0.3468
102,0.3491
103,0.3446
104,0.3423
105,0.3423
106,0.3401
107,0.3423
108,0.3401
109,0.3378
110,0.3468
111,0.3468
112,0.3491
113,0.3468
114,0.3468
115,0.3491
116,0.3468
117,0.3446
118,0.3468
119,0.3446
120,0.3468
121,0.3446
