epoch,val_acc
0,0.2027
1,0.2027
2,0.2140
3,0.2185
4,0.2320
5,0.2320
6,0.2455
7,0.2590
8,0.2703
9,0.2815
10,0.2928
11,0.3086
12,0.3086
13,0.3176
14,0.3108
15,0.3176
16,0.3221
17,0.3243
18,0.3221
19,0.3243
20,0.3266
21,0.3311
22,0.3333
23,0.3356
24,0.3356
25,0.3378
26,0.3378
27,0.3378
28,0.3378
29,0.3401
30,0.3423
31,0.3423
32,0.3378
33,0.3423
34,0.3423
35,0.3446
36,0.3446
37,0.3446
38,0.3446
39,0.3446
40,0.3401
41,0.3401
42,0.3446
43,0.3468
44,0.3446
45,0.3446
46,0.3446
47,0.3446
48,0.3423
49,0.3378
50,0.3401
51,0.3401
52,0.3401
53,0.3401
54,0.3401
55,0.3378
56,0.3446
57,0.3468
58,0.3514
59,0.3536
60,0.3581
61,0.3604
62,0.3581
63,0.3536
64,0.3536
65,0.3536
66,0.3559
67,0.3559
68,0.3536
69,0.3514
70,0.3514
71,0.3491
72,0.3491
73,0.3468
74,0.3468
75,0.3423
76,0.3446
77,0.3446
78,0.3468
79,0.3491
80,0.3514
81,0.3514
82,0.3514
83,0.3514
84,0.3491
85,0.3491
86,0.3491
87,0.3491
88,0.3491
89,0.3491
90,0.3446
91,0.3468
92,0.3468
93,0.3491
94,0.3491
95,0.3491
96,0.3491
97,0.3468
98,0.3514
99,0.3536
100,0.3514
101,0.3491
102,0.3514
103,0.3491
104,0.3491
105,0.3491
106,0.3514
107,0.3536
108,0.3536
109,0.3559
110,0.3581
111,0.3604
