epoch,val_acc
0,0.3266
1,0.2297
2,0.2072
3,0.2050
4,0.2500
5,0.3221
6,0.3288
7,0.3333
8,0.2860
9,0.3131
10,0.2883
11,0.2883
12,0.2140
13,0.2387
14,0.3153
15,0.3311
16,0.3401
17,0.3333
18,0.3176
19,0.2748
20,0.2275
21,0.1734
22,0.1734
23,0.1802
24,0.1959
25,0.2410
26,0.2455
27,0.2568
28,0.2793
29,0.3108
30,0.3266
31,0.3063
32,0.3041
33,0.2815
34,0.2725
35,0.2725
36,0.2703
37,0.2995
38,0.3063
39,0.2973
40,0.2365
41,0.2162
42,0.2365
43,0.2973
44,0.3108
45,0.3378
46,0.3423
47,0.3356
48,0.3198
49,0.3086
50,0.2995
51,0.2928
52,0.2860
53,0.2680
54,0.2725
55,0.2725
56,0.2590
57,0.2613
58,0.2590
59,0.2905
60,0.2883
61,0.2973
62,0.3086
63,0.2883
64,0.2838
65,0.2387
66,0.2297
67,0.2117
68,0.2455
69,0.2477
70,0.2477
71,0.2410
72,0.2613
73,0.2680
74,0.3063
75,0.3063
76,0.3108
77,0.3176
78,0.3176
79,0.3153
80,0.3108
81,0.3153
82,0.3041
83,0.2905
84,0.3086
85,0.2748
86,0.2387
87,0.2230
88,0.2297
89,0.2297
90,0.2342
91,0.2432
92,0.2477
93,0.2770
94,0.2860
95,0.3041
96,0.3176
