epoch,val_acc
0,0.3018
1,0.2050
2,0.2275
3,0.1599
4,0.2523
5,0.3243
6,0.3198
7,0.2545
8,0.2027
9,0.2162
10,0.3198
11,0.3243
12,0.3243
13,0.2950
14,0.1869
15,0.1464
16,0.1374
17,0.1486
18,0.2793
19,0.2793
20,0.2545
21,0.2342
22,0.2410
23,0.2432
24,0.2050
25,0.2072
26,0.2117
27,0.1982
28,0.2072
29,0.2703
30,0.3221
31,0.3266
32,0.3153
33,0.2703
34,0.2545
35,0.2477
36,0.2320
37,0.2275
38,0.2342
39,0.2365
40,0.2432
41,0.2275
42,0.2928
43,0.3311
44,0.3266
45,0.3243
46,0.2793
47,0.2635
48,0.2477
49,0.2500
50,0.2590
51,0.2860
52,0.3153
53,0.2883
54,0.2725
55,0.2973
56,0.2793
57,0.2455
58,0.2432
59,0.2410
60,0.2815
61,0.2613
62,0.2635
63,0.3131
64,0.3153
65,0.3018
66,0.2523
67,0.1982
68,0.1847
69,0.1869
70,0.2252
71,0.2410
72,0.2928
73,0.3041
74,0.3153
75,0.3198
76,0.3221
77,0.3311
78,0.3018
79,0.2140
80,0.1869
81,0.1779
82,0.1757
83,0.2117
84,0.2703
85,0.3063
86,0.2973
87,0.3063
88,0.3018
89,0.2928
90,0.2838
91,0.2995
92,0.3018
93,0.2950
