epoch,val_acc
0,0.1644
1,0.2162
2,0.2455
3,0.2883
4,0.2995
5,0.3153
6,0.3041
7,0.3018
8,0.2950
9,0.2950
10,0.2995
11,0.3018
12,0.2973
13,0.3063
14,0.2995
15,0.2973
16,0.3018
17,0.3108
18,0.3153
19,0.3198
20,0.3243
21,0.3266
22,0.3243
23,0.3243
24,0.3221
25,0.3221
26,0.3221
27,0.3243
28,0.3266
29,0.3266
30,0.3288
31,0.3221
32,0.3243
33,0.3266
34,0.3333
35,0.3378
36,0.3356
37,0.3378
38,0.3333
39,0.3378
40,0.3356
41,0.3333
42,0.3311
43,0.3311
44,0.3333
45,0.3311
46,0.3243
47,0.3243
48,0.3311
49,0.3288
50,0.3311
51,0.3288
52,0.3333
53,0.3356
54,0.3378
55,0.3333
56,0.3288
57,0.3333
58,0.3356
59,0.3401
60,0.3378
61,0.3401
62,0.3423
63,0.3401
64,0.3311
65,0.3311
66,0.3356
67,0.3378
68,0.3423
69,0.3514
70,0.3514
71,0.3514
72,0.3536
73,0.3536
74,0.3559
75,0.3536
76,0.3536
77,0.3514
78,0.3536
79,0.3604
80,0.3581
81,0.3514
82,0.3491
83,0.3423
84,0.3491
85,0.3468
86,0.3468
87,0.3423
88,0.3446
89,0.3468
90,0.3491
91,0.3468
92,0.3468
93,0.3468
94,0.3446
95,0.3514
96,0.3514
97,0.3491
98,0.3491
99,0.3446
100,0.3446
101,0.3423
102,0.3514
103,0.3446
104,0.3401
105,0.3401
106,0.3423
107,0.3514
108,0.3446
109,0.3401
110,0.3401
111,0.3378
112,0.3401
113,0.3446
114,0.3378
115,0.3423
116,0.3423
117,0.3423
118,0.3468
119,0.3401
120,0.3468
121,0.3423
122,0.3446
123,0.3491
124,0.3378
125,0.3491
126,0.3559
127,0.3514
128,0.3536
129,0.3559
