epoch,val_acc
0,0.3153
1,0.2275
2,0.2252
3,0.3198
4,0.3378
5,0.3356
6,0.3333
7,0.3221
8,0.3153
9,0.2905
10,0.2793
11,0.2860
12,0.3198
13,0.3243
14,0.3198
15,0.3266
16,0.3446
17,0.3559
18,0.3626
19,0.3649
20,0.3581
21,0.3559
22,0.3468
23,0.3333
24,0.3333
25,0.3378
26,0.3288
27,0.3221
28,0.3378
29,0.3378
30,0.3378
31,0.3311
32,0.3378
33,0.3514
34,0.3559
35,0.3446
36,0.3468
37,0.3401
38,0.3311
39,0.3333
40,0.3333
41,0.3221
42,0.3153
43,0.3378
44,0.3288
45,0.3221
46,0.3108
47,0.3378
48,0.3423
49,0.3041
50,0.3108
51,0.3063
52,0.3311
53,0.3198
54,0.3423
55,0.3266
56,0.3176
57,0.3198
58,0.3266
59,0.3333
60,0.3311
61,0.3086
62,0.3198
63,0.3401
64,0.3423
65,0.3378
66,0.3131
67,0.3153
68,0.3401
69,0.3446
