epoch,val_acc
0,0.1712
1,0.1689
2,0.1712
3,0.1802
4,0.1734
5,0.1622
6,0.1667
7,0.1667
8,0.1712
9,0.1689
10,0.1644
11,0.1622
12,0.1667
13,0.1689
14,0.1712
15,0.1644
16,0.1622
17,0.1622
18,0.1622
19,0.1599
20,0.1599
21,0.1667
22,0.1689
23,0.1599
24,0.1622
25,0.1644
26,0.1667
27,0.1689
28,0.1757
29,0.1734
30,0.1689
31,0.1689
32,0.1689
33,0.1667
34,0.1667
35,0.1689
36,0.1667
37,0.1644
38,0.1667
39,0.1734
40,0.1734
41,0.1734
42,0.1689
43,0.1689
44,0.1712
45,0.1712
46,0.1689
47,0.1734
48,0.1667
49,0.1689
50,0.1577
51,0.1577
52,0.1599
53,0.1554
