epoch,val_acc
0,0.2050
1,0.2095
2,0.2117
3,0.2140
4,0.2185
5,0.2095
6,0.2252
7,0.2230
8,0.2207
9,0.2207
10,0.2162
11,0.2207
12,0.2140
13,0.2162
14,0.2185
15,0.2185
16,0.2230
17,0.2230
18,0.2185
19,0.2185
20,0.2207
21,0.2252
22,0.2297
23,0.2275
24,0.2252
25,0.2252
26,0.2185
27,0.2185
28,0.2252
29,0.2207
30,0.2207
31,0.2230
32,0.2185
33,0.2185
34,0.2252
35,0.2230
36,0.2162
37,0.2207
38,0.2207
39,0.2207
40,0.2162
41,0.2140
42,0.2162
43,0.2207
44,0.2207
45,0.2162
46,0.2140
47,0.2185
48,0.2230
49,0.2207
50,0.2275
51,0.2275
52,0.2230
53,0.2230
54,0.2185
55,0.2162
56,0.2162
57,0.2140
58,0.2095
59,0.2117
60,0.2117
61,0.2140
62,0.2117
63,0.2230
64,0.2275
65,0.2252
66,0.2297
67,0.2275
68,0.2275
69,0.2230
70,0.2230
71,0.2207
72,0.2185
