epoch,val_acc
0,0.1667
1,0.1667
2,0.3333
3,0.5000
4,0.2222
5,0.1667
6,0.1667
7,0.1667
8,0.1389
9,0.1111
10,0.0278
11,0.1111
12,0.1389
13,0.1667
14,0.1667
15,0.1667
16,0.1667
17,0.1667
18,0.1667
19,0.1667
20,0.1667
21,0.1667
22,0.1667
23,0.1667
24,0.1389
25,0.1389
26,0.1389
27,0.1667
28,0.1667
29,0.1667
30,0.1944
31,0.2500
32,0.2778
33,0.4167
34,0.4722
35,0.5278
36,0.5278
37,0.5000
38,0.5000
39,0.4167
40,0.4167
41,0.4167
42,0.4167
43,0.4167
44,0.4722
45,0.5000
46,0.5833
47,0.5833
48,0.5556
49,0.5278
50,0.5278
51,0.5556
52,0.5833
53,0.6389
54,0.6389
55,0.6389
56,0.6389
57,0.6389
58,0.6389
59,0.6667
60,0.6944
61,0.6667
62,0.6667
63,0.6667
64,0.6667
65,0.6667
66,0.6944
67,0.6944
68,0.7222
69,0.7222
70,0.7222
71,0.7500
72,0.7500
73,0.7500
74,0.7222
75,0.7222
76,0.7222
77,0.7222
78,0.7500
79,0.7500
80,0.7778
81,0.7778
82,0.7778
83,0.7778
84,0.7778
85,0.7778
86,0.7778
87,0.7778
88,0.7778
89,0.7778
90,0.7778
91,0.7778
92,0.7778
93,0.7778
94,0.8056
95,0.8056
96,0.8056
97,0.8333
98,0.8611
99,0.8611
100,0.8611
101,0.8611
102,0.8611
103,0.8611
104,0.8611
105,0.8333
106,0.8056
107,0.8056
108,0.8056
109,0.8056
110,0.8056
111,0.8333
112,0.8611
113,0.8611
114,0.8611
115,0.8611
116,0.8889
117,0.8889
118,0.8889
119,0.8889
120,0.8889
121,0.8889
122,0.8889
123,0.8889
124,0.8889
125,0.8889
126,0.8889
127,0.8333
128,0.7500
129,0.7222
130,0.7222
131,0.6944
132,0.6944
133,0.6944
134,0.7222
135,0.7500
136,0.7500
137,0.7500
138,0.7500
139,0.8056
140,0.8611
141,0.8333
142,0.8333
143,0.8611
144,0.8611
145,0.8333
146,0.8333
147,0.8333
148,0.8056
149,0.7500
150,0.7778
151,0.7500
152,0.7500
153,0.7500
154,0.7500
155,0.7500
156,0.7500
157,0.7500
158,0.8333
159,0.8611
160,0.8611
161,0.8611
162,0.8889
163,0.8889
164,0.9167
165,0.9167
166,0.9167
167,0.9167
168,0.8611
169,0.7778
170,0.7778
171,0.7778
172,0.7778
173,0.7500
174,0.7500
175,0.7500
176,0.7500
177,0.7500
178,0.7778
179,0.7778
180,0.7500
181,0.7778
182,0.8056
183,0.8333
184,0.8333
185,0.8611
186,0.8889
187,0.8889
188,0.9167
189,0.9167
190,0.9167
191,0.9167
192,0.9167
193,0.9167
194,0.9167
195,0.9167
196,0.9167
197,0.9167
198,0.9167
199,0.8333
200,0.8056
201,0.7778
202,0.7500
203,0.7222
204,0.7222
205,0.7222
206,0.6944
207,0.6667
208,0.6944
209,0.7222
210,0.7778
211,0.7778
212,0.8611
213,0.8611
214,0.8611
