epoch,val_acc
0,0.2222
1,0.1944
2,0.2222
3,0.1944
4,0.1944
5,0.1667
6,0.1667
7,0.1667
8,0.1944
9,0.2222
10,0.2222
11,0.2778
12,0.2500
13,0.2222
14,0.2778
15,0.3611
16,0.3889
17,0.3611
18,0.2778
19,0.2500
20,0.2500
21,0.2500
22,0.3056
23,0.3056
24,0.3056
25,0.3056
26,0.3056
27,0.2778
28,0.2778
29,0.2778
30,0.3056
31,0.3333
32,0.3333
33,0.3333
34,0.3611
35,0.3611
36,0.3611
37,0.3333
38,0.3611
39,0.3333
40,0.3333
41,0.3333
42,0.3056
43,0.2778
44,0.2778
45,0.2778
46,0.2778
47,0.3056
48,0.3333
49,0.3056
50,0.3056
51,0.2778
52,0.3333
53,0.3333
54,0.3333
55,0.3056
56,0.3056
57,0.2778
58,0.2778
59,0.2778
60,0.2778
61,0.2500
62,0.2778
63,0.3056
64,0.3056
65,0.3056
66,0.2778
