epoch,val_acc
0,0.3056
1,0.3333
2,0.3889
3,0.4444
4,0.4444
5,0.4167
6,0.4167
7,0.4722
8,0.5000
9,0.6111
10,0.5833
11,0.5833
12,0.6389
13,0.6944
14,0.7222
15,0.6944
16,0.7222
17,0.7222
18,0.6944
19,0.6944
20,0.6944
21,0.6944
22,0.6944
23,0.7222
24,0.7222
25,0.7222
26,0.7222
27,0.7222
28,0.7222
29,0.7222
30,0.7222
31,0.7222
32,0.7222
33,0.7222
34,0.7222
35,0.7222
36,0.7222
37,0.7500
38,0.7500
39,0.7500
40,0.7500
41,0.7500
42,0.7500
43,0.7500
44,0.7500
45,0.7500
46,0.7500
47,0.7500
48,0.7500
49,0.7500
50,0.7500
51,0.7500
52,0.7500
53,0.7500
54,0.7500
55,0.7500
56,0.7222
57,0.7222
58,0.7222
59,0.7222
60,0.7222
61,0.7222
62,0.7222
63,0.7222
64,0.7222
65,0.7222
66,0.7222
67,0.7222
68,0.7222
69,0.7222
70,0.7222
71,0.7222
72,0.7222
73,0.7222
74,0.7222
75,0.7222
76,0.7222
77,0.7222
78,0.7222
79,0.7222
80,0.7222
81,0.7222
82,0.7222
83,0.7222
84,0.7222
85,0.7222
86,0.7222
87,0.7222
