id,dataset,model,K,hidden,lr,weight_decay,epochs,patience,seed,best_val_acc,test_acc,epochs_ran,parallel_mode
Texas_GPRGNN_K4_H64_lr0.01_wd0.0005_e500_p50_s0,Texas,GPRGNN,4,64,0.01,0.0005,500,50,0,0.4722,0.4474,51,lr_wd_seed_batched
Texas_GPRGNN_K4_H64_lr0.01_wd0.0005_e500_p50_s1,Texas,GPRGNN,4,64,0.01,0.0005,500,50,1,0.5556,0.4474,54,lr_wd_seed_batched
Texas_GPRGNN_K4_H64_lr0.01_wd0.0005_e500_p50_s2,Texas,GPRGNN,4,64,0.01,0.0005,500,50,2,0.7500,0.6579,206,lr_wd_seed_batched
Texas_GPRGNN_K4_H64_lr0.01_wd0.0005_e500_p50_s3,Texas,GPRGNN,4,64,0.01,0.0005,500,50,3,0.6944,0.5526,208,lr_wd_seed_batched
Texas_GPRGNN_K4_H64_lr0.01_wd0.0005_e500_p50_s4,Texas,GPRGNN,4,64,0.01,0.0005,500,50,4,0.5833,0.5000,95,lr_wd_seed_batched
Texas_GPRGNN_K4_H64_lr0.01_wd0.0005_e500_p50_s5,Texas,GPRGNN,4,64,0.01,0.0005,500,50,5,0.4167,0.4474,53,lr_wd_seed_batched
Texas_GPRGNN_K4_H64_lr0.01_wd0.0005_e500_p50_s6,Texas,GPRGNN,4,64,0.01,0.0005,500,50,6,0.5556,0.4211,104,lr_wd_seed_batched
Texas_GPRGNN_K4_H64_lr0.01_wd0.0005_e500_p50_s7,Texas,GPRGNN,4,64,0.01,0.0005,500,50,7,0.7222,0.7105,152,lr_wd_seed_batched
Texas_GPRGNN_K4_H64_lr0.01_wd0.0005_e500_p50_s8,Texas,GPRGNN,4,64,0.01,0.0005,500,50,8,0.6667,0.6579,117,lr_wd_seed_batched
Texas_GPRGNN_K4_H64_lr0.01_wd0.0005_e500_p50_s9,Texas,GPRGNN,4,64,0.01,0.0005,500,50,9,0.4444,0.3684,71,lr_wd_seed_batched
Texas_GPRGNN_K4_H64_lr0.01_wd0.0001_e500_p50_s0,Texas,GPRGNN,4,64,0.01,0.0001,500,50,0,0.5556,0.5000,178,lr_wd_seed_batched
Texas_GPRGNN_K4_H64_lr0.01_wd0.0001_e500_p50_s1,Texas,GPRGNN,4,64,0.01,0.0001,500,50,1,0.6111,0.5000,54,lr_wd_seed_batched
Texas_GPRGNN_K4_H64_lr0.01_wd0.0001_e500_p50_s2,Texas,GPRGNN,4,64,0.01,0.0001,500,50,2,0.7222,0.5526,52,lr_wd_seed_batched
Texas_GPRGNN_K4_H64_lr0.01_wd0.0001_e500_p50_s3,Texas,GPRGNN,4,64,0.01,0.0001,500,50,3,0.5278,0.5526,51,lr_wd_seed_batched
Texas_GPRGNN_K4_H64_lr0.01_wd0.0001_e500_p50_s4,Texas,GPRGNN,4,64,0.01,0.0001,500,50,4,0.5556,0.4474,105,lr_wd_seed_batched
Texas_GPRGNN_K4_H64_lr0.01_wd0.0001_e500_p50_s5,Texas,GPRGNN,4,64,0.01,0.0001,500,50,5,0.4167,0.4474,65,lr_wd_seed_batched
Texas_GPRGNN_K4_H64_lr0.01_wd0.0001_e500_p50_s6,Texas,GPRGNN,4,64,0.01,0.0001,500,50,6,0.6667,0.5789,134,lr_wd_seed_batched
Texas_GPRGNN_K4_H64_lr0.01_wd0.0001_e500_p50_s7,Texas,GPRGNN,4,64,0.01,0.0001,500,50,7,0.7500,0.6842,162,lr_wd_seed_batched
Texas_GPRGNN_K4_H64_lr0.01_wd0.0001_e500_p50_s8,Texas,GPRGNN,4,64,0.01,0.0001,500,50,8,0.6389,0.6579,102,lr_wd_seed_batched
Texas_GPRGNN_K4_H64_lr0.01_wd0.0001_e500_p50_s9,Texas,GPRGNN,4,64,0.01,0.0001,500,50,9,0.6111,0.5526,52,lr_wd_seed_batched
Texas_GPRGNN_K4_H64_lr0.01_wd0_e500_p50_s0,Texas,GPRGNN,4,64,0.01,0.0,500,50,0,0.5000,0.2895,92,lr_wd_seed_batched
Texas_GPRGNN_K4_H64_lr0.01_wd0_e500_p50_s1,Texas,GPRGNN,4,64,0.01,0.0,500,50,1,0.4167,0.4737,86,lr_wd_seed_batched
Texas_GPRGNN_K4_H64_lr0.01_wd0_e500_p50_s2,Texas,GPRGNN,4,64,0.01,0.0,500,50,2,0.6389,0.5526,115,lr_wd_seed_batched
Texas_GPRGNN_K4_H64_lr0.01_wd0_e500_p50_s3,Texas,GPRGNN,4,64,0.01,0.0,500,50,3,0.6389,0.5263,204,lr_wd_seed_batched
Texas_GPRGNN_K4_H64_lr0.01_wd0_e500_p50_s4,Texas,GPRGNN,4,64,0.01,0.0,500,50,4,0.6389,0.4474,51,lr_wd_seed_batched
Texas_GPRGNN_K4_H64_lr0.01_wd0_e500_p50_s5,Texas,GPRGNN,4,64,0.01,0.0,500,50,5,0.4167,0.3421,102,lr_wd_seed_batched
Texas_GPRGNN_K4_H64_lr0.01_wd0_e500_p50_s6,Texas,GPRGNN,4,64,0.01,0.0,500,50,6,0.4722,0.5789,52,lr_wd_seed_batched
Texas_GPRGNN_K4_H64_lr0.01_wd0_e500_p50_s7,Texas,GPRGNN,4,64,0.01,0.0,500,50,7,0.6944,0.7368,126,lr_wd_seed_batched
Texas_GPRGNN_K4_H64_lr0.01_wd0_e500_p50_s8,Texas,GPRGNN,4,64,0.01,0.0,500,50,8,0.7222,0.5263,58,lr_wd_seed_batched
Texas_GPRGNN_K4_H64_lr0.01_wd0_e500_p50_s9,Texas,GPRGNN,4,64,0.01,0.0,500,50,9,0.5000,0.5000,51,lr_wd_seed_batched
Texas_GPRGNN_K4_H64_lr0.005_wd0.0005_e500_p50_s0,Texas,GPRGNN,4,64,0.005,0.0005,500,50,0,0.4444,0.3684,52,lr_wd_seed_batched
Texas_GPRGNN_K4_H64_lr0.005_wd0.0005_e500_p50_s1,Texas,GPRGNN,4,64,0.005,0.0005,500,50,1,0.3611,0.4211,69,lr_wd_seed_batched
Texas_GPRGNN_K4_H64_lr0.005_wd0.0005_e500_p50_s2,Texas,GPRGNN,4,64,0.005,0.0005,500,50,2,0.5278,0.5263,51,lr_wd_seed_batched
Texas_GPRGNN_K4_H64_lr0.005_wd0.0005_e500_p50_s3,Texas,GPRGNN,4,64,0.005,0.0005,500,50,3,0.4722,0.3421,108,lr_wd_seed_batched
Texas_GPRGNN_K4_H64_lr0.005_wd0.0005_e500_p50_s4,Texas,GPRGNN,4,64,0.005,0.0005,500,50,4,0.5000,0.4211,66,lr_wd_seed_batched
Texas_GPRGNN_K4_H64_lr0.005_wd0.0005_e500_p50_s5,Texas,GPRGNN,4,64,0.005,0.0005,500,50,5,0.4167,0.5263,55,lr_wd_seed_batched
