epoch,val_acc
0,0.4071
1,0.7750
2,0.7826
3,0.7822
4,0.7831
5,0.7839
6,0.7839
7,0.7843
8,0.7852
9,0.7414
10,0.6253
11,0.5649
12,0.5355
13,0.5444
14,0.5823
15,0.6721
16,0.7486
17,0.7826
18,0.7852
19,0.7843
20,0.7852
21,0.7852
22,0.7882
23,0.7920
24,0.7946
25,0.7788
26,0.7507
27,0.7252
28,0.7010
29,0.6989
30,0.7163
31,0.7312
32,0.7524
33,0.7767
34,0.7843
35,0.7890
36,0.7937
37,0.7933
38,0.7950
39,0.7941
40,0.7877
41,0.7805
42,0.7835
43,0.7686
44,0.7648
45,0.7639
46,0.7686
47,0.7733
48,0.7797
49,0.7886
50,0.7882
51,0.7890
52,0.7899
53,0.7912
54,0.7937
55,0.7924
56,0.7924
57,0.7916
58,0.7873
59,0.7822
60,0.7788
61,0.7826
62,0.7890
63,0.7950
64,0.7967
65,0.7980
66,0.7992
67,0.8001
68,0.7988
69,0.7980
70,0.7967
71,0.7967
72,0.7997
73,0.7971
74,0.7975
75,0.7954
76,0.7958
77,0.8014
78,0.8001
79,0.8001
80,0.8005
81,0.8018
82,0.8018
83,0.8035
84,0.7980
85,0.7984
86,0.7980
87,0.7997
88,0.8001
89,0.8018
90,0.8022
91,0.8026
92,0.8031
93,0.8031
94,0.8035
95,0.8052
96,0.8043
97,0.8043
98,0.8043
99,0.8056
100,0.8056
101,0.8073
102,0.8077
103,0.8082
104,0.8073
105,0.8069
106,0.8077
107,0.8065
108,0.8060
109,0.8043
110,0.8056
111,0.8048
112,0.8052
113,0.8077
114,0.8077
115,0.8077
116,0.8090
117,0.8086
118,0.8082
119,0.8065
120,0.8065
121,0.8077
122,0.8086
123,0.8086
124,0.8086
125,0.8090
126,0.8099
127,0.8094
128,0.8103
129,0.8111
130,0.8111
131,0.8099
132,0.8111
133,0.8107
134,0.8082
135,0.8082
136,0.8082
137,0.8082
138,0.8086
139,0.8077
140,0.8060
141,0.8069
142,0.8065
143,0.8077
144,0.8082
145,0.8077
146,0.8065
147,0.8056
148,0.8043
149,0.8048
150,0.8048
151,0.8069
152,0.8086
153,0.8069
154,0.8073
155,0.8069
156,0.8060
157,0.8082
158,0.8086
159,0.8086
160,0.8073
161,0.8077
162,0.8103
163,0.8116
164,0.8116
165,0.8099
166,0.8128
167,0.8094
168,0.8103
169,0.8103
170,0.8111
171,0.8099
172,0.8099
173,0.8103
174,0.8111
175,0.8107
176,0.8099
177,0.8103
178,0.8107
179,0.8103
180,0.8099
181,0.8111
182,0.8107
183,0.8107
184,0.8120
185,0.8124
186,0.8124
187,0.8145
188,0.8150
189,0.8145
190,0.8137
191,0.8145
192,0.8124
193,0.8120
194,0.8116
195,0.8116
196,0.8133
197,0.8137
198,0.8124
199,0.8133
200,0.8124
201,0.8137
202,0.8133
203,0.8141
204,0.8128
205,0.8120
206,0.8145
207,0.8107
208,0.8094
209,0.8103
210,0.8128
211,0.8137
212,0.8137
213,0.8141
214,0.8120
215,0.8103
216,0.8103
217,0.8133
218,0.8120
219,0.8124
220,0.8145
221,0.8133
222,0.8141
223,0.8150
224,0.8145
225,0.8137
226,0.8141
227,0.8150
228,0.8154
229,0.8162
230,0.8154
231,0.8158
232,0.8150
233,0.8141
234,0.8154
235,0.8150
236,0.8162
237,0.8141
238,0.8124
239,0.8120
240,0.8124
241,0.8120
242,0.8128
243,0.8133
244,0.8111
245,0.8116
246,0.8128
247,0.8137
248,0.8137
249,0.8116
250,0.8120
251,0.8116
252,0.8137
253,0.8145
254,0.8141
255,0.8124
256,0.8133
257,0.8141
258,0.8103
259,0.8124
260,0.8145
261,0.8128
262,0.8141
263,0.8137
264,0.8137
265,0.8133
266,0.8150
267,0.8167
268,0.8171
269,0.8145
270,0.8133
271,0.8158
272,0.8154
273,0.8145
274,0.8141
275,0.8145
276,0.8133
277,0.8158
278,0.8154
279,0.8154
280,0.8167
281,0.8171
282,0.8167
283,0.8162
284,0.8171
285,0.8145
286,0.8133
287,0.8133
288,0.8133
289,0.8150
290,0.8158
291,0.8154
292,0.8154
293,0.8162
294,0.8158
295,0.8154
296,0.8154
297,0.8145
298,0.8150
299,0.8162
300,0.8158
301,0.8150
302,0.8133
303,0.8124
304,0.8124
305,0.8120
306,0.8124
307,0.8128
308,0.8133
309,0.8133
310,0.8128
311,0.8145
312,0.8133
313,0.8133
314,0.8107
315,0.8124
316,0.8128
317,0.8133
318,0.8154
