epoch,val_acc
0,0.5096
1,0.6312
2,0.6942
3,0.7282
4,0.7524
5,0.7622
6,0.7652
7,0.7661
8,0.7712
9,0.7733
10,0.7737
11,0.7733
12,0.7737
13,0.7746
14,0.7746
15,0.7750
16,0.7754
17,0.7750
18,0.7724
19,0.7716
20,0.7720
21,0.7729
22,0.7746
23,0.7737
24,0.7737
25,0.7741
26,0.7737
27,0.7741
28,0.7750
29,0.7763
30,0.7771
31,0.7784
32,0.7788
33,0.7792
34,0.7792
35,0.7805
36,0.7805
37,0.7809
38,0.7805
39,0.7814
40,0.7818
41,0.7835
42,0.7826
43,0.7831
44,0.7835
45,0.7843
46,0.7843
47,0.7852
48,0.7839
49,0.7831
50,0.7826
51,0.7839
52,0.7852
53,0.7848
54,0.7856
55,0.7890
56,0.7873
57,0.7886
58,0.7890
59,0.7895
60,0.7899
61,0.7899
62,0.7899
63,0.7890
64,0.7882
65,0.7903
66,0.7899
67,0.7899
68,0.7899
69,0.7907
70,0.7916
71,0.7916
72,0.7920
73,0.7920
74,0.7912
75,0.7924
76,0.7916
77,0.7916
78,0.7924
79,0.7929
80,0.7933
81,0.7924
82,0.7929
83,0.7920
84,0.7916
85,0.7912
86,0.7899
87,0.7912
88,0.7920
89,0.7933
90,0.7937
91,0.7924
92,0.7916
93,0.7916
94,0.7916
95,0.7912
96,0.7916
97,0.7912
98,0.7907
99,0.7890
100,0.7856
101,0.7865
102,0.7869
103,0.7865
104,0.7865
105,0.7873
106,0.7869
107,0.7873
108,0.7856
109,0.7860
110,0.7865
111,0.7860
112,0.7852
113,0.7856
114,0.7860
115,0.7865
116,0.7865
117,0.7865
118,0.7865
119,0.7873
120,0.7869
121,0.7865
122,0.7860
123,0.7843
124,0.7839
125,0.7843
126,0.7877
127,0.7877
128,0.7877
129,0.7873
130,0.7869
131,0.7852
132,0.7856
133,0.7843
134,0.7843
135,0.7856
136,0.7856
137,0.7865
138,0.7869
139,0.7865
140,0.7856
