epoch,val_acc
0,0.2259
1,0.2510
2,0.6682
3,0.7678
4,0.7716
5,0.7754
6,0.7754
7,0.7758
8,0.7758
9,0.7758
10,0.7758
11,0.7758
12,0.7750
13,0.7750
14,0.7746
15,0.7733
16,0.7729
17,0.7716
18,0.7699
19,0.7690
20,0.7661
21,0.7635
22,0.7588
23,0.7558
24,0.7546
25,0.7541
26,0.7554
27,0.7576
28,0.7605
29,0.7639
30,0.7665
31,0.7678
32,0.7695
33,0.7699
34,0.7707
35,0.7712
36,0.7716
37,0.7720
38,0.7724
39,0.7729
40,0.7733
41,0.7729
42,0.7729
43,0.7729
44,0.7729
45,0.7729
46,0.7720
47,0.7712
48,0.7703
49,0.7703
50,0.7703
51,0.7707
52,0.7699
53,0.7699
54,0.7703
55,0.7699
56,0.7703
57,0.7699
