epoch,val_acc
0,0.3135
1,0.5253
2,0.6440
3,0.7006
4,0.7252
5,0.7486
6,0.7673
7,0.7746
8,0.7792
9,0.7831
10,0.7848
11,0.7848
12,0.7839
13,0.7843
14,0.7843
15,0.7843
16,0.7839
17,0.7839
18,0.7839
19,0.7835
20,0.7835
21,0.7835
22,0.7835
23,0.7835
24,0.7835
25,0.7835
26,0.7835
27,0.7835
28,0.7835
29,0.7835
30,0.7839
31,0.7839
32,0.7843
33,0.7839
34,0.7839
35,0.7839
36,0.7843
37,0.7848
38,0.7848
39,0.7848
40,0.7852
41,0.7848
42,0.7843
43,0.7835
44,0.7835
45,0.7831
46,0.7831
47,0.7835
48,0.7835
49,0.7835
50,0.7839
51,0.7843
52,0.7843
53,0.7839
54,0.7839
55,0.7839
56,0.7839
57,0.7839
58,0.7839
59,0.7839
60,0.7839
61,0.7839
62,0.7839
63,0.7835
64,0.7835
65,0.7839
66,0.7839
67,0.7839
68,0.7839
69,0.7831
70,0.7835
71,0.7839
72,0.7839
73,0.7839
74,0.7839
75,0.7835
76,0.7835
77,0.7835
78,0.7835
79,0.7835
80,0.7835
81,0.7835
82,0.7835
83,0.7839
84,0.7835
85,0.7835
86,0.7835
87,0.7835
88,0.7835
89,0.7835
90,0.7831
