epoch,val_acc
0,0.2632
1,0.2974
2,0.4906
3,0.5410
4,0.5607
5,0.5667
6,0.5795
7,0.6132
8,0.6509
9,0.6547
10,0.6628
11,0.6739
12,0.6885
13,0.6983
14,0.7077
15,0.7184
16,0.7252
17,0.7350
18,0.7397
19,0.7432
20,0.7500
21,0.7560
22,0.7611
23,0.7654
24,0.7688
25,0.7688
26,0.7718
27,0.7748
28,0.7791
29,0.7838
30,0.7855
31,0.7842
32,0.7842
33,0.7876
34,0.7919
35,0.7970
36,0.7996
37,0.8000
38,0.8021
39,0.8026
40,0.8038
41,0.8034
42,0.8060
43,0.8111
44,0.8128
45,0.8150
46,0.8184
47,0.8205
48,0.8205
49,0.8162
50,0.8158
51,0.8188
52,0.8201
53,0.8218
54,0.8222
55,0.8209
56,0.8205
57,0.8205
58,0.8222
59,0.8214
60,0.8205
61,0.8192
62,0.8201
63,0.8209
64,0.8214
65,0.8248
66,0.8244
67,0.8248
68,0.8231
69,0.8226
70,0.8235
71,0.8235
72,0.8244
73,0.8256
74,0.8248
75,0.8239
76,0.8256
77,0.8248
78,0.8282
79,0.8286
80,0.8252
81,0.8235
82,0.8231
83,0.8261
84,0.8282
85,0.8312
86,0.8308
87,0.8274
88,0.8239
89,0.8265
90,0.8295
91,0.8333
92,0.8312
93,0.8299
94,0.8286
95,0.8286
96,0.8308
97,0.8333
98,0.8338
99,0.8325
100,0.8329
101,0.8325
102,0.8321
103,0.8316
104,0.8325
105,0.8325
106,0.8350
107,0.8321
108,0.8303
109,0.8308
110,0.8333
111,0.8355
112,0.8342
113,0.8308
114,0.8325
115,0.8342
116,0.8393
117,0.8389
118,0.8368
119,0.8329
120,0.8312
121,0.8338
122,0.8350
123,0.8346
124,0.8376
125,0.8376
126,0.8368
127,0.8325
128,0.8338
129,0.8393
130,0.8423
131,0.8355
132,0.8338
133,0.8368
134,0.8376
135,0.8389
136,0.8372
137,0.8385
138,0.8376
139,0.8385
140,0.8385
141,0.8376
142,0.8385
143,0.8380
144,0.8346
145,0.8376
146,0.8402
147,0.8402
148,0.8350
149,0.8372
150,0.8419
151,0.8415
152,0.8385
153,0.8376
154,0.8397
155,0.8393
156,0.8415
157,0.8380
158,0.8385
159,0.8372
160,0.8393
161,0.8410
162,0.8427
163,0.8406
164,0.8423
165,0.8406
166,0.8393
167,0.8423
168,0.8415
169,0.8415
170,0.8432
171,0.8423
172,0.8436
173,0.8419
174,0.8427
175,0.8410
176,0.8449
177,0.8423
178,0.8402
179,0.8453
180,0.8474
181,0.8440
182,0.8449
183,0.8427
184,0.8449
185,0.8444
186,0.8436
187,0.8432
188,0.8457
189,0.8410
190,0.8419
191,0.8419
192,0.8453
193,0.8479
194,0.8466
195,0.8423
196,0.8436
197,0.8470
198,0.8457
199,0.8474
200,0.8453
201,0.8483
202,0.8466
203,0.8466
204,0.8457
205,0.8483
206,0.8491
207,0.8453
208,0.8487
209,0.8487
210,0.8517
211,0.8462
212,0.8509
213,0.8509
214,0.8521
215,0.8509
216,0.8504
217,0.8513
218,0.8491
219,0.8466
220,0.8474
221,0.8487
222,0.8483
223,0.8462
224,0.8466
225,0.8491
226,0.8500
227,0.8462
228,0.8427
229,0.8513
230,0.8487
231,0.8496
232,0.8462
233,0.8491
234,0.8496
235,0.8521
236,0.8513
237,0.8504
238,0.8509
239,0.8500
240,0.8470
241,0.8526
242,0.8504
243,0.8487
244,0.8483
245,0.8500
246,0.8534
247,0.8500
248,0.8479
249,0.8517
250,0.8513
251,0.8504
252,0.8513
253,0.8538
254,0.8513
255,0.8517
256,0.8500
257,0.8547
258,0.8564
259,0.8513
260,0.8483
261,0.8504
262,0.8509
263,0.8479
264,0.8479
265,0.8526
266,0.8513
267,0.8560
268,0.8513
269,0.8491
270,0.8568
271,0.8534
272,0.8509
273,0.8513
274,0.8543
275,0.8543
276,0.8504
277,0.8560
278,0.8504
279,0.8504
280,0.8491
281,0.8517
282,0.8491
283,0.8483
284,0.8470
285,0.8474
286,0.8530
287,0.8543
288,0.8453
289,0.8521
290,0.8556
291,0.8560
292,0.8513
293,0.8526
294,0.8543
295,0.8513
296,0.8496
297,0.8517
298,0.8504
299,0.8509
300,0.8487
301,0.8517
302,0.8581
303,0.8521
304,0.8457
305,0.8547
306,0.8564
307,0.8551
308,0.8517
309,0.8513
310,0.8564
311,0.8526
312,0.8504
313,0.8521
314,0.8551
315,0.8577
316,0.8534
317,0.8483
318,0.8487
319,0.8534
320,0.8509
321,0.8521
322,0.8496
323,0.8551
324,0.8526
325,0.8560
326,0.8573
327,0.8564
328,0.8538
329,0.8551
330,0.8551
331,0.8509
332,0.8513
333,0.8513
334,0.8534
335,0.8504
336,0.8521
337,0.8551
338,0.8538
339,0.8560
340,0.8568
341,0.8509
342,0.8487
343,0.8573
344,0.8568
345,0.8509
346,0.8560
347,0.8547
348,0.8543
349,0.8551
350,0.8534
351,0.8547
352,0.8543
