epoch,val_acc
0,0.1778
1,0.2107
2,0.2996
3,0.3017
4,0.3338
5,0.3504
6,0.4068
7,0.4842
8,0.5154
9,0.4957
10,0.4940
11,0.5406
12,0.5791
13,0.5957
14,0.5855
15,0.5872
16,0.5953
17,0.6158
18,0.6321
19,0.6530
20,0.6573
21,0.6684
22,0.6735
23,0.6846
24,0.6953
25,0.7047
26,0.7184
27,0.7252
28,0.7312
29,0.7415
30,0.7513
31,0.7603
32,0.7654
33,0.7756
34,0.7812
35,0.7838
36,0.7859
37,0.7923
38,0.7927
39,0.7940
40,0.7893
41,0.7919
42,0.7966
43,0.8000
44,0.8004
45,0.8026
46,0.8043
47,0.8047
48,0.8098
49,0.8107
50,0.8128
51,0.8137
52,0.8132
53,0.8128
54,0.8132
55,0.8141
56,0.8154
57,0.8150
58,0.8175
59,0.8188
60,0.8205
61,0.8209
62,0.8175
63,0.8167
64,0.8197
65,0.8231
66,0.8235
67,0.8239
68,0.8265
69,0.8248
70,0.8256
71,0.8231
72,0.8201
73,0.8252
74,0.8274
75,0.8261
76,0.8265
77,0.8286
78,0.8278
79,0.8269
80,0.8278
81,0.8312
82,0.8321
83,0.8303
84,0.8295
85,0.8299
86,0.8308
87,0.8308
88,0.8312
89,0.8316
90,0.8338
91,0.8329
92,0.8333
93,0.8338
94,0.8333
95,0.8329
96,0.8303
97,0.8325
98,0.8338
99,0.8325
100,0.8325
101,0.8316
102,0.8338
103,0.8350
104,0.8321
105,0.8346
106,0.8346
107,0.8346
108,0.8321
109,0.8316
110,0.8380
111,0.8389
112,0.8359
113,0.8363
114,0.8368
115,0.8346
116,0.8342
117,0.8333
118,0.8376
119,0.8410
120,0.8380
121,0.8380
122,0.8402
123,0.8385
124,0.8346
125,0.8368
126,0.8393
127,0.8397
128,0.8376
129,0.8368
130,0.8380
131,0.8389
132,0.8372
133,0.8376
134,0.8380
135,0.8419
136,0.8402
137,0.8397
138,0.8385
139,0.8397
140,0.8368
141,0.8389
142,0.8419
143,0.8397
144,0.8385
145,0.8419
146,0.8406
147,0.8410
148,0.8397
149,0.8419
150,0.8415
151,0.8419
152,0.8436
153,0.8432
154,0.8415
155,0.8427
156,0.8444
157,0.8440
158,0.8444
159,0.8436
160,0.8423
161,0.8423
162,0.8423
163,0.8402
164,0.8427
165,0.8423
166,0.8440
167,0.8423
168,0.8432
169,0.8432
170,0.8440
171,0.8432
172,0.8419
173,0.8423
174,0.8436
175,0.8436
176,0.8436
177,0.8436
178,0.8449
179,0.8449
180,0.8440
181,0.8440
182,0.8427
183,0.8432
184,0.8427
185,0.8432
186,0.8427
187,0.8427
188,0.8444
189,0.8449
190,0.8466
191,0.8453
192,0.8427
193,0.8432
194,0.8440
195,0.8432
196,0.8436
197,0.8444
198,0.8449
199,0.8453
200,0.8423
201,0.8436
202,0.8449
203,0.8432
204,0.8449
205,0.8453
206,0.8436
207,0.8449
208,0.8449
209,0.8449
210,0.8440
211,0.8440
212,0.8436
213,0.8444
214,0.8444
215,0.8453
216,0.8457
217,0.8449
218,0.8457
219,0.8449
220,0.8436
221,0.8436
222,0.8432
223,0.8436
224,0.8444
225,0.8453
226,0.8444
227,0.8440
228,0.8444
229,0.8444
230,0.8453
231,0.8449
232,0.8449
233,0.8436
234,0.8440
235,0.8470
236,0.8470
237,0.8479
238,0.8453
239,0.8440
240,0.8453
241,0.8453
242,0.8440
243,0.8449
244,0.8449
245,0.8449
246,0.8453
247,0.8462
248,0.8470
249,0.8462
250,0.8453
251,0.8466
252,0.8462
253,0.8470
254,0.8449
255,0.8466
256,0.8462
257,0.8444
258,0.8444
259,0.8449
260,0.8444
261,0.8457
262,0.8449
263,0.8474
264,0.8462
265,0.8466
266,0.8462
267,0.8453
268,0.8462
269,0.8466
270,0.8453
271,0.8449
272,0.8474
273,0.8462
274,0.8462
275,0.8462
276,0.8457
277,0.8466
278,0.8432
279,0.8474
280,0.8457
281,0.8466
282,0.8470
283,0.8462
284,0.8466
285,0.8436
286,0.8457
287,0.8466
