epoch,val_acc
0,0.1709
1,0.2299
2,0.2735
3,0.3226
4,0.3179
5,0.3085
6,0.3115
7,0.3363
8,0.3594
9,0.4021
10,0.4419
11,0.4795
12,0.5009
13,0.5145
14,0.5214
15,0.5286
16,0.5380
17,0.5470
18,0.5594
19,0.5701
20,0.5808
21,0.5902
22,0.5996
23,0.6085
24,0.6141
25,0.6188
26,0.6299
27,0.6376
28,0.6440
29,0.6483
30,0.6547
31,0.6594
32,0.6658
33,0.6744
34,0.6795
35,0.6833
36,0.6880
37,0.6915
38,0.6966
39,0.7017
40,0.7060
41,0.7073
42,0.7111
43,0.7128
44,0.7137
45,0.7222
46,0.7278
47,0.7308
48,0.7346
49,0.7376
50,0.7410
51,0.7423
52,0.7419
53,0.7440
54,0.7479
55,0.7487
56,0.7504
57,0.7534
58,0.7564
59,0.7585
60,0.7603
61,0.7628
62,0.7641
63,0.7675
64,0.7688
65,0.7697
66,0.7735
67,0.7744
68,0.7735
69,0.7774
70,0.7799
71,0.7829
72,0.7855
73,0.7872
74,0.7897
75,0.7915
76,0.7910
77,0.7902
78,0.7902
79,0.7936
80,0.7987
81,0.8009
82,0.8004
83,0.8009
84,0.8021
85,0.8026
86,0.8056
87,0.8090
88,0.8103
89,0.8098
90,0.8107
91,0.8115
92,0.8115
93,0.8111
94,0.8120
95,0.8132
96,0.8158
97,0.8145
98,0.8158
99,0.8158
100,0.8158
101,0.8167
102,0.8179
103,0.8201
104,0.8214
105,0.8197
106,0.8235
107,0.8222
108,0.8197
109,0.8197
110,0.8192
111,0.8214
112,0.8222
113,0.8222
114,0.8222
115,0.8231
116,0.8239
117,0.8235
118,0.8231
119,0.8226
120,0.8244
121,0.8222
122,0.8248
123,0.8261
124,0.8265
125,0.8256
126,0.8239
127,0.8244
128,0.8256
129,0.8248
130,0.8252
131,0.8291
132,0.8282
133,0.8265
134,0.8274
135,0.8282
136,0.8274
137,0.8291
138,0.8286
139,0.8303
140,0.8325
141,0.8321
142,0.8321
143,0.8308
144,0.8312
145,0.8321
146,0.8312
147,0.8321
148,0.8321
149,0.8329
150,0.8321
151,0.8321
152,0.8329
153,0.8321
154,0.8325
155,0.8325
156,0.8321
157,0.8329
158,0.8338
159,0.8338
160,0.8325
161,0.8333
162,0.8338
163,0.8350
164,0.8355
165,0.8359
166,0.8372
167,0.8359
168,0.8346
169,0.8342
170,0.8342
171,0.8350
172,0.8342
173,0.8346
174,0.8359
175,0.8363
176,0.8372
177,0.8380
178,0.8376
179,0.8359
180,0.8359
181,0.8355
182,0.8355
183,0.8385
184,0.8397
185,0.8385
186,0.8385
187,0.8385
188,0.8368
189,0.8372
190,0.8368
191,0.8372
192,0.8385
193,0.8406
194,0.8406
195,0.8402
196,0.8385
197,0.8393
198,0.8389
199,0.8389
200,0.8406
201,0.8406
202,0.8385
203,0.8376
204,0.8397
205,0.8402
206,0.8410
207,0.8406
208,0.8406
209,0.8402
210,0.8415
211,0.8410
212,0.8406
213,0.8415
214,0.8415
215,0.8415
216,0.8410
217,0.8410
218,0.8415
219,0.8432
220,0.8440
221,0.8423
222,0.8423
223,0.8423
224,0.8436
225,0.8436
226,0.8444
227,0.8453
228,0.8462
229,0.8466
230,0.8444
231,0.8432
232,0.8423
233,0.8444
234,0.8440
235,0.8444
236,0.8449
237,0.8432
238,0.8436
239,0.8444
240,0.8444
241,0.8449
242,0.8432
243,0.8457
244,0.8440
245,0.8436
246,0.8432
247,0.8444
248,0.8440
249,0.8440
250,0.8444
251,0.8436
252,0.8432
253,0.8432
254,0.8449
255,0.8449
256,0.8436
257,0.8432
258,0.8427
259,0.8436
260,0.8432
261,0.8436
262,0.8440
263,0.8440
264,0.8444
265,0.8427
266,0.8427
267,0.8423
268,0.8427
269,0.8449
270,0.8449
271,0.8449
272,0.8444
273,0.8436
274,0.8440
275,0.8432
276,0.8444
277,0.8436
278,0.8444
279,0.8440
