epoch,val_acc
0,0.3432
1,0.3915
2,0.4158
3,0.5560
4,0.5594
5,0.5714
6,0.5791
7,0.5868
8,0.5940
9,0.5979
10,0.6150
11,0.6538
12,0.6868
13,0.6936
14,0.6991
15,0.7115
16,0.7316
17,0.7479
18,0.7521
19,0.7585
20,0.7624
21,0.7654
22,0.7688
23,0.7748
24,0.7761
25,0.7799
26,0.7795
27,0.7829
28,0.7893
29,0.7906
30,0.7906
31,0.7983
32,0.7970
33,0.7987
34,0.8043
35,0.8060
36,0.8056
37,0.8060
38,0.8043
39,0.8073
40,0.8098
41,0.8103
42,0.8107
43,0.8085
44,0.8124
45,0.8128
46,0.8137
47,0.8162
48,0.8184
49,0.8128
50,0.8184
51,0.8175
52,0.8175
53,0.8214
54,0.8239
55,0.8205
56,0.8184
57,0.8192
58,0.8218
59,0.8222
60,0.8248
61,0.8274
62,0.8244
63,0.8222
64,0.8222
65,0.8256
66,0.8286
67,0.8291
68,0.8252
69,0.8261
70,0.8274
71,0.8329
72,0.8295
73,0.8274
74,0.8299
75,0.8325
76,0.8308
77,0.8325
78,0.8329
79,0.8278
80,0.8321
81,0.8321
82,0.8316
83,0.8303
84,0.8321
85,0.8338
86,0.8321
87,0.8282
88,0.8316
89,0.8312
90,0.8321
91,0.8321
92,0.8346
93,0.8329
94,0.8350
95,0.8316
96,0.8321
97,0.8316
98,0.8355
99,0.8346
100,0.8363
101,0.8333
102,0.8342
103,0.8372
104,0.8346
105,0.8325
106,0.8325
107,0.8355
108,0.8359
109,0.8333
110,0.8338
111,0.8346
112,0.8363
113,0.8355
114,0.8329
115,0.8316
116,0.8338
117,0.8355
118,0.8372
119,0.8338
120,0.8359
121,0.8316
122,0.8368
123,0.8363
124,0.8363
125,0.8329
126,0.8389
127,0.8397
128,0.8385
129,0.8342
130,0.8355
131,0.8346
132,0.8368
133,0.8368
134,0.8355
135,0.8359
136,0.8355
137,0.8359
138,0.8346
139,0.8355
140,0.8346
141,0.8397
142,0.8380
143,0.8376
144,0.8372
145,0.8363
146,0.8402
147,0.8389
148,0.8380
149,0.8410
150,0.8385
151,0.8427
152,0.8397
153,0.8397
154,0.8389
155,0.8385
156,0.8427
157,0.8402
158,0.8406
159,0.8380
160,0.8402
161,0.8385
162,0.8402
163,0.8427
164,0.8415
165,0.8397
166,0.8368
167,0.8393
168,0.8427
169,0.8427
170,0.8406
171,0.8423
172,0.8419
173,0.8423
174,0.8432
175,0.8410
176,0.8419
177,0.8406
178,0.8432
179,0.8440
180,0.8427
181,0.8432
182,0.8415
183,0.8444
184,0.8372
185,0.8397
186,0.8444
187,0.8423
188,0.8402
189,0.8423
190,0.8376
191,0.8419
192,0.8440
193,0.8432
194,0.8427
195,0.8444
196,0.8453
197,0.8462
198,0.8432
199,0.8440
200,0.8474
201,0.8466
202,0.8453
203,0.8474
204,0.8483
205,0.8487
206,0.8466
207,0.8462
208,0.8474
209,0.8470
210,0.8449
211,0.8474
212,0.8479
213,0.8449
214,0.8449
215,0.8462
216,0.8470
217,0.8466
218,0.8466
219,0.8483
220,0.8487
221,0.8440
222,0.8453
223,0.8483
224,0.8436
225,0.8487
226,0.8427
227,0.8479
228,0.8504
229,0.8479
230,0.8444
231,0.8449
232,0.8483
233,0.8453
234,0.8474
235,0.8457
236,0.8504
237,0.8462
238,0.8496
239,0.8491
240,0.8440
241,0.8466
242,0.8449
243,0.8462
244,0.8462
245,0.8470
246,0.8470
247,0.8483
248,0.8466
249,0.8449
250,0.8462
251,0.8457
252,0.8462
253,0.8457
254,0.8462
255,0.8487
256,0.8449
257,0.8453
258,0.8462
259,0.8457
260,0.8453
261,0.8491
262,0.8479
263,0.8491
264,0.8466
265,0.8479
266,0.8487
267,0.8479
268,0.8457
269,0.8462
270,0.8500
271,0.8504
272,0.8462
273,0.8466
274,0.8500
275,0.8496
276,0.8500
277,0.8517
278,0.8474
279,0.8466
280,0.8470
281,0.8470
282,0.8509
283,0.8513
284,0.8487
285,0.8453
286,0.8449
287,0.8470
288,0.8496
289,0.8466
290,0.8457
291,0.8470
292,0.8491
293,0.8479
294,0.8487
295,0.8509
296,0.8479
297,0.8496
298,0.8504
299,0.8517
300,0.8496
301,0.8483
302,0.8504
303,0.8500
304,0.8453
305,0.8474
306,0.8449
307,0.8462
308,0.8474
309,0.8466
310,0.8427
311,0.8444
312,0.8457
313,0.8509
314,0.8457
315,0.8402
316,0.8415
317,0.8466
318,0.8504
319,0.8479
320,0.8432
321,0.8427
322,0.8470
323,0.8474
324,0.8517
325,0.8457
326,0.8479
327,0.8504
