epoch,val_acc
0,0.0897
1,0.1137
2,0.1368
3,0.1444
4,0.1402
5,0.1359
6,0.1299
7,0.1380
8,0.1568
9,0.2132
10,0.2222
11,0.2128
12,0.2132
13,0.2226
14,0.2303
15,0.2449
16,0.2654
17,0.2838
18,0.2944
19,0.3085
20,0.3188
21,0.3303
22,0.3427
23,0.3585
24,0.3714
25,0.3902
26,0.4009
27,0.4107
28,0.4132
29,0.4197
30,0.4252
31,0.4299
32,0.4393
33,0.4479
34,0.4645
35,0.4846
36,0.5034
37,0.5239
38,0.5368
39,0.5483
40,0.5551
41,0.5624
42,0.5658
43,0.5688
44,0.5718
45,0.5752
46,0.5765
47,0.5791
48,0.5786
49,0.5791
50,0.5795
51,0.5812
52,0.5816
53,0.5829
54,0.5846
55,0.5859
56,0.5885
57,0.5923
58,0.5949
59,0.5970
60,0.6004
61,0.6009
62,0.6021
63,0.6056
64,0.6085
65,0.6132
66,0.6175
67,0.6197
68,0.6282
69,0.6329
70,0.6359
71,0.6410
72,0.6440
73,0.6496
74,0.6564
75,0.6632
76,0.6679
77,0.6726
78,0.6765
79,0.6795
80,0.6812
81,0.6863
82,0.6897
83,0.6940
84,0.6940
85,0.6953
86,0.6987
87,0.7021
88,0.7051
89,0.7077
90,0.7077
91,0.7098
92,0.7128
93,0.7154
94,0.7171
95,0.7184
96,0.7184
97,0.7205
98,0.7209
99,0.7214
100,0.7226
101,0.7235
102,0.7248
103,0.7248
104,0.7278
105,0.7282
106,0.7291
107,0.7295
108,0.7312
109,0.7342
110,0.7350
111,0.7350
112,0.7380
113,0.7393
114,0.7423
115,0.7423
116,0.7466
117,0.7500
118,0.7526
119,0.7564
120,0.7598
121,0.7645
122,0.7675
123,0.7667
124,0.7679
125,0.7688
126,0.7701
127,0.7714
128,0.7752
129,0.7782
130,0.7769
131,0.7778
132,0.7799
133,0.7846
134,0.7850
135,0.7868
136,0.7897
137,0.7889
138,0.7889
139,0.7906
140,0.7927
141,0.7949
142,0.7966
143,0.7979
144,0.7996
145,0.7987
146,0.8000
147,0.8000
148,0.7996
149,0.8009
150,0.8017
151,0.8017
152,0.8030
153,0.8034
154,0.8051
155,0.8051
156,0.8064
157,0.8073
158,0.8094
159,0.8068
160,0.8056
161,0.8073
162,0.8094
163,0.8107
164,0.8120
165,0.8124
166,0.8120
167,0.8124
168,0.8128
169,0.8120
170,0.8132
171,0.8154
172,0.8150
173,0.8167
174,0.8162
175,0.8158
176,0.8162
177,0.8167
178,0.8162
179,0.8171
180,0.8175
181,0.8175
182,0.8167
183,0.8171
184,0.8184
185,0.8179
186,0.8179
187,0.8192
188,0.8192
189,0.8175
190,0.8171
191,0.8171
192,0.8167
193,0.8192
194,0.8192
195,0.8214
196,0.8205
197,0.8209
198,0.8201
199,0.8205
200,0.8197
201,0.8188
202,0.8175
203,0.8171
204,0.8188
205,0.8205
206,0.8209
207,0.8214
208,0.8218
209,0.8218
210,0.8205
211,0.8209
212,0.8197
213,0.8197
214,0.8201
215,0.8201
216,0.8197
217,0.8184
218,0.8179
219,0.8188
220,0.8201
221,0.8205
222,0.8197
223,0.8188
224,0.8192
225,0.8205
226,0.8192
227,0.8201
228,0.8205
229,0.8214
230,0.8222
231,0.8209
232,0.8201
233,0.8209
234,0.8201
235,0.8192
236,0.8201
237,0.8192
238,0.8205
239,0.8214
240,0.8205
241,0.8205
242,0.8205
243,0.8222
244,0.8214
245,0.8218
246,0.8205
247,0.8214
248,0.8222
249,0.8231
250,0.8239
251,0.8226
252,0.8231
253,0.8239
254,0.8226
255,0.8222
256,0.8218
257,0.8218
258,0.8209
259,0.8218
260,0.8214
261,0.8226
262,0.8235
263,0.8235
264,0.8239
265,0.8235
266,0.8235
267,0.8226
268,0.8231
269,0.8231
270,0.8235
271,0.8235
272,0.8239
273,0.8235
274,0.8239
275,0.8252
276,0.8244
277,0.8248
278,0.8265
279,0.8261
280,0.8269
281,0.8265
282,0.8252
283,0.8265
284,0.8261
285,0.8248
286,0.8235
287,0.8248
288,0.8252
289,0.8244
290,0.8248
291,0.8256
292,0.8252
293,0.8261
294,0.8261
295,0.8261
296,0.8269
297,0.8274
298,0.8261
299,0.8252
300,0.8248
301,0.8248
302,0.8244
303,0.8252
304,0.8256
305,0.8256
306,0.8265
307,0.8274
308,0.8269
309,0.8274
310,0.8261
311,0.8269
312,0.8274
313,0.8252
314,0.8239
315,0.8239
316,0.8239
317,0.8248
318,0.8265
319,0.8265
320,0.8274
321,0.8295
322,0.8282
323,0.8269
324,0.8265
325,0.8265
326,0.8248
327,0.8244
328,0.8252
329,0.8265
330,0.8282
331,0.8299
332,0.8282
333,0.8274
334,0.8256
335,0.8265
336,0.8278
337,0.8269
338,0.8252
339,0.8265
340,0.8256
341,0.8261
342,0.8265
343,0.8265
344,0.8261
345,0.8256
346,0.8256
347,0.8278
348,0.8286
349,0.8274
350,0.8278
351,0.8269
352,0.8269
353,0.8278
354,0.8286
355,0.8282
356,0.8291
357,0.8291
358,0.8282
359,0.8274
360,0.8278
361,0.8286
362,0.8282
363,0.8286
364,0.8286
365,0.8299
366,0.8295
367,0.8286
368,0.8286
369,0.8286
370,0.8291
371,0.8286
372,0.8291
373,0.8295
374,0.8299
375,0.8291
376,0.8295
377,0.8295
378,0.8291
379,0.8295
380,0.8295
381,0.8299
