epoch,val_acc
0,0.1457
1,0.1568
2,0.1611
3,0.1628
4,0.1628
5,0.1637
6,0.1654
7,0.1671
8,0.1705
9,0.1739
10,0.1761
11,0.1953
12,0.2295
13,0.2573
14,0.2748
15,0.2808
16,0.2863
17,0.2919
18,0.2679
19,0.2406
20,0.2269
21,0.2150
22,0.2034
23,0.2009
24,0.1991
25,0.1987
26,0.1974
27,0.1979
28,0.1979
29,0.2013
30,0.2043
31,0.2081
32,0.2188
33,0.2265
34,0.2410
35,0.2568
36,0.2756
37,0.2919
38,0.3068
39,0.3303
40,0.3432
41,0.3513
42,0.3521
43,0.3526
44,0.3517
45,0.3483
46,0.3449
47,0.3427
48,0.3432
49,0.3457
50,0.3470
51,0.3534
52,0.3585
53,0.3662
54,0.3765
55,0.3833
56,0.3932
57,0.4051
58,0.4098
59,0.4192
60,0.4312
61,0.4389
62,0.4470
63,0.4504
64,0.4577
65,0.4620
66,0.4650
67,0.4675
68,0.4739
69,0.4778
70,0.4842
71,0.4876
72,0.4923
73,0.4957
74,0.5000
75,0.5056
76,0.5085
77,0.5120
78,0.5154
79,0.5201
80,0.5252
81,0.5286
82,0.5316
83,0.5342
84,0.5363
85,0.5389
86,0.5427
87,0.5453
88,0.5474
89,0.5500
90,0.5534
91,0.5551
92,0.5573
93,0.5598
94,0.5620
95,0.5654
96,0.5701
97,0.5739
98,0.5791
99,0.5803
100,0.5821
101,0.5829
102,0.5850
103,0.5885
104,0.5910
105,0.5932
106,0.5953
107,0.5974
108,0.5996
109,0.6013
110,0.6026
111,0.6038
112,0.6056
113,0.6060
114,0.6073
115,0.6085
116,0.6103
117,0.6115
118,0.6111
119,0.6128
120,0.6137
121,0.6158
122,0.6158
123,0.6179
124,0.6197
125,0.6201
126,0.6226
127,0.6235
128,0.6248
129,0.6265
130,0.6291
131,0.6312
132,0.6338
133,0.6350
134,0.6368
135,0.6380
136,0.6397
137,0.6410
138,0.6410
139,0.6436
140,0.6444
141,0.6474
142,0.6487
143,0.6500
144,0.6538
145,0.6573
146,0.6585
147,0.6598
148,0.6611
149,0.6628
150,0.6650
151,0.6654
152,0.6662
153,0.6675
154,0.6692
155,0.6709
156,0.6709
157,0.6722
158,0.6731
159,0.6739
160,0.6752
161,0.6756
162,0.6761
163,0.6769
164,0.6769
165,0.6786
166,0.6803
167,0.6812
168,0.6808
169,0.6833
170,0.6838
171,0.6863
172,0.6880
173,0.6880
174,0.6885
175,0.6902
176,0.6915
177,0.6936
178,0.6944
179,0.6944
180,0.6949
181,0.6962
182,0.6983
183,0.6991
184,0.7004
185,0.7009
186,0.7013
187,0.7043
188,0.7047
189,0.7047
190,0.7043
191,0.7051
192,0.7060
193,0.7073
194,0.7073
195,0.7064
196,0.7068
197,0.7077
198,0.7077
199,0.7081
200,0.7085
201,0.7085
202,0.7090
203,0.7094
204,0.7094
205,0.7098
206,0.7098
207,0.7098
208,0.7111
209,0.7115
210,0.7124
211,0.7120
212,0.7132
213,0.7137
214,0.7141
215,0.7154
216,0.7154
217,0.7162
218,0.7162
219,0.7162
220,0.7158
221,0.7162
222,0.7175
223,0.7188
224,0.7188
225,0.7188
226,0.7188
227,0.7188
228,0.7197
229,0.7192
230,0.7209
231,0.7205
232,0.7218
233,0.7231
234,0.7261
235,0.7256
236,0.7265
237,0.7274
238,0.7286
239,0.7286
240,0.7308
241,0.7316
242,0.7321
243,0.7333
244,0.7342
245,0.7346
246,0.7346
247,0.7355
248,0.7376
249,0.7380
250,0.7380
251,0.7385
252,0.7402
253,0.7415
254,0.7415
255,0.7419
256,0.7427
257,0.7444
258,0.7444
259,0.7440
260,0.7449
261,0.7453
262,0.7466
263,0.7474
264,0.7483
265,0.7483
266,0.7483
267,0.7479
268,0.7487
269,0.7496
270,0.7491
271,0.7496
272,0.7509
273,0.7521
274,0.7517
275,0.7521
276,0.7517
277,0.7517
278,0.7517
279,0.7517
280,0.7513
281,0.7521
282,0.7517
283,0.7526
284,0.7534
285,0.7538
286,0.7547
287,0.7551
288,0.7556
289,0.7560
290,0.7564
291,0.7568
292,0.7573
293,0.7573
294,0.7585
295,0.7603
296,0.7620
297,0.7628
298,0.7632
299,0.7637
300,0.7641
301,0.7650
302,0.7662
303,0.7671
304,0.7675
305,0.7679
306,0.7679
307,0.7679
308,0.7692
309,0.7701
310,0.7726
311,0.7735
312,0.7748
313,0.7756
314,0.7761
315,0.7761
316,0.7765
317,0.7774
318,0.7782
319,0.7778
320,0.7778
321,0.7778
322,0.7786
323,0.7791
324,0.7799
325,0.7803
326,0.7808
327,0.7808
328,0.7821
329,0.7833
330,0.7838
331,0.7838
332,0.7855
333,0.7850
334,0.7859
335,0.7863
336,0.7863
337,0.7863
338,0.7872
339,0.7872
340,0.7872
341,0.7868
342,0.7872
343,0.7889
344,0.7897
345,0.7893
346,0.7885
347,0.7889
348,0.7889
349,0.7893
350,0.7889
351,0.7893
352,0.7893
353,0.7889
354,0.7893
355,0.7902
356,0.7897
357,0.7902
358,0.7910
359,0.7906
360,0.7910
361,0.7910
362,0.7919
363,0.7923
364,0.7919
365,0.7923
366,0.7915
367,0.7915
368,0.7919
369,0.7932
370,0.7932
371,0.7936
372,0.7932
373,0.7927
374,0.7932
375,0.7940
376,0.7944
377,0.7944
378,0.7953
379,0.7944
380,0.7944
381,0.7944
382,0.7949
383,0.7949
384,0.7949
385,0.7953
386,0.7953
387,0.7953
388,0.7949
389,0.7949
390,0.7962
391,0.7957
392,0.7962
393,0.7966
394,0.7970
395,0.7966
396,0.7962
397,0.7966
398,0.7966
399,0.7966
400,0.7962
401,0.7957
402,0.7957
403,0.7970
404,0.7979
405,0.7987
406,0.7987
407,0.7983
408,0.7974
409,0.7974
410,0.7987
411,0.7987
412,0.7991
413,0.7983
414,0.7987
415,0.7979
416,0.7983
417,0.7979
418,0.7974
419,0.7979
420,0.7979
421,0.7979
422,0.7974
423,0.7983
424,0.7987
425,0.7987
426,0.7996
427,0.7996
428,0.8000
429,0.8000
430,0.8000
431,0.8000
432,0.7996
433,0.7996
434,0.8004
435,0.8000
436,0.7991
437,0.7991
438,0.7996
439,0.7996
440,0.7996
441,0.7996
442,0.8004
443,0.8004
444,0.8004
445,0.8004
446,0.8004
447,0.7996
448,0.8004
449,0.8004
450,0.8004
451,0.8013
452,0.8013
453,0.8013
454,0.8013
455,0.8013
456,0.8013
457,0.8021
458,0.8017
459,0.8017
460,0.8017
461,0.8017
462,0.8021
463,0.8034
464,0.8038
465,0.8043
466,0.8026
467,0.8026
468,0.8026
469,0.8038
470,0.8038
471,0.8038
472,0.8043
473,0.8038
474,0.8034
475,0.8043
476,0.8043
477,0.8034
478,0.8038
479,0.8034
480,0.8030
481,0.8030
482,0.8034
483,0.8034
484,0.8038
485,0.8043
486,0.8043
487,0.8043
488,0.8047
489,0.8047
490,0.8047
491,0.8047
492,0.8047
493,0.8043
494,0.8038
495,0.8034
496,0.8030
497,0.8026
498,0.8034
499,0.8038
