epoch,val_acc
0,0.2000
1,0.2034
2,0.2073
3,0.2047
4,0.2021
5,0.2030
6,0.2026
7,0.2043
8,0.2141
9,0.2376
10,0.2782
11,0.3286
12,0.3530
13,0.3513
14,0.3487
15,0.3585
16,0.3808
17,0.4419
18,0.4897
19,0.5120
20,0.5231
21,0.5321
22,0.5338
23,0.5372
24,0.5419
25,0.5504
26,0.5650
27,0.5748
28,0.5803
29,0.5880
30,0.5987
31,0.6145
32,0.6261
33,0.6355
34,0.6449
35,0.6585
36,0.6645
37,0.6709
38,0.6821
39,0.6872
40,0.6893
41,0.6932
42,0.6953
43,0.6962
44,0.6974
45,0.7004
46,0.7030
47,0.7056
48,0.7103
49,0.7154
50,0.7171
51,0.7201
52,0.7226
53,0.7329
54,0.7397
55,0.7427
56,0.7444
57,0.7496
58,0.7547
59,0.7628
60,0.7637
61,0.7645
62,0.7662
63,0.7709
64,0.7748
65,0.7778
66,0.7791
67,0.7855
68,0.7868
69,0.7863
70,0.7868
71,0.7876
72,0.7889
73,0.7897
74,0.7915
75,0.7902
76,0.7906
77,0.7889
78,0.7906
79,0.7910
80,0.7940
81,0.7940
82,0.7936
83,0.7919
84,0.7936
85,0.7936
86,0.7944
87,0.7953
88,0.7957
89,0.7953
90,0.7966
91,0.7974
92,0.7983
93,0.7970
94,0.7974
95,0.7966
96,0.7953
97,0.7957
98,0.7970
99,0.7966
100,0.7970
101,0.7991
102,0.7991
103,0.8009
104,0.8009
105,0.8017
106,0.8009
107,0.8021
108,0.8017
109,0.8009
110,0.8017
111,0.8026
112,0.8017
113,0.8026
114,0.8021
115,0.8021
116,0.8021
117,0.8021
118,0.8034
119,0.8043
120,0.8051
121,0.8051
122,0.8056
123,0.8056
124,0.8047
125,0.8047
126,0.8056
127,0.8043
128,0.8056
129,0.8060
130,0.8064
131,0.8073
132,0.8060
133,0.8077
134,0.8064
135,0.8064
136,0.8068
137,0.8077
138,0.8073
139,0.8064
140,0.8060
141,0.8064
142,0.8068
143,0.8060
144,0.8068
145,0.8064
146,0.8081
147,0.8081
148,0.8090
149,0.8085
150,0.8077
151,0.8077
152,0.8081
153,0.8085
154,0.8094
155,0.8094
156,0.8090
157,0.8090
158,0.8094
159,0.8115
160,0.8120
161,0.8120
162,0.8120
163,0.8120
164,0.8120
165,0.8120
166,0.8120
167,0.8120
168,0.8124
169,0.8120
170,0.8132
171,0.8132
172,0.8132
173,0.8141
174,0.8141
175,0.8150
176,0.8167
177,0.8154
178,0.8145
179,0.8150
180,0.8150
181,0.8158
182,0.8162
183,0.8162
184,0.8171
185,0.8162
186,0.8154
187,0.8158
188,0.8154
189,0.8154
190,0.8162
191,0.8162
192,0.8162
193,0.8162
194,0.8154
195,0.8175
196,0.8175
197,0.8167
198,0.8175
199,0.8179
200,0.8179
201,0.8171
202,0.8158
203,0.8171
204,0.8171
205,0.8167
206,0.8171
207,0.8154
208,0.8167
209,0.8179
210,0.8179
211,0.8167
212,0.8158
213,0.8171
214,0.8171
215,0.8184
216,0.8184
217,0.8179
218,0.8179
219,0.8179
220,0.8171
221,0.8179
222,0.8171
223,0.8167
224,0.8175
225,0.8167
226,0.8179
227,0.8171
228,0.8175
229,0.8167
230,0.8179
231,0.8171
232,0.8179
233,0.8175
234,0.8175
235,0.8184
236,0.8192
237,0.8175
238,0.8175
239,0.8171
240,0.8188
241,0.8201
242,0.8192
243,0.8179
244,0.8167
245,0.8167
246,0.8179
247,0.8179
248,0.8188
249,0.8167
250,0.8171
251,0.8175
252,0.8179
253,0.8179
254,0.8179
255,0.8184
256,0.8192
257,0.8175
258,0.8188
259,0.8175
260,0.8188
261,0.8188
262,0.8192
263,0.8188
264,0.8167
265,0.8184
266,0.8188
267,0.8188
268,0.8192
269,0.8192
270,0.8197
271,0.8205
272,0.8197
273,0.8188
274,0.8201
275,0.8197
276,0.8188
277,0.8197
278,0.8197
279,0.8209
280,0.8218
281,0.8214
282,0.8218
283,0.8218
284,0.8214
285,0.8218
286,0.8201
287,0.8209
288,0.8226
289,0.8218
290,0.8209
291,0.8218
292,0.8231
293,0.8209
294,0.8226
295,0.8235
296,0.8231
297,0.8231
298,0.8209
299,0.8192
300,0.8209
301,0.8218
302,0.8214
303,0.8235
304,0.8235
305,0.8235
306,0.8205
307,0.8184
308,0.8188
309,0.8209
310,0.8214
311,0.8231
312,0.8231
313,0.8239
314,0.8239
315,0.8222
316,0.8209
317,0.8226
318,0.8235
319,0.8226
320,0.8226
321,0.8235
322,0.8231
323,0.8214
324,0.8235
325,0.8231
326,0.8252
327,0.8244
328,0.8235
329,0.8226
330,0.8201
331,0.8222
332,0.8235
333,0.8239
334,0.8239
335,0.8244
336,0.8239
337,0.8239
338,0.8239
339,0.8239
340,0.8239
341,0.8248
342,0.8261
343,0.8274
344,0.8265
345,0.8244
346,0.8244
347,0.8244
348,0.8244
349,0.8226
350,0.8248
351,0.8269
352,0.8265
353,0.8231
354,0.8244
355,0.8265
356,0.8239
357,0.8231
358,0.8226
359,0.8248
360,0.8256
361,0.8256
362,0.8274
363,0.8269
364,0.8265
365,0.8244
366,0.8231
367,0.8244
368,0.8256
369,0.8256
370,0.8256
371,0.8248
372,0.8248
373,0.8256
374,0.8248
375,0.8252
376,0.8261
377,0.8278
378,0.8261
379,0.8248
380,0.8244
381,0.8244
382,0.8261
383,0.8256
384,0.8261
385,0.8248
386,0.8252
387,0.8248
388,0.8265
389,0.8269
390,0.8256
391,0.8252
392,0.8256
393,0.8274
394,0.8274
395,0.8269
396,0.8269
397,0.8252
398,0.8261
399,0.8269
400,0.8269
401,0.8278
402,0.8265
403,0.8265
404,0.8265
405,0.8282
406,0.8278
407,0.8278
408,0.8269
409,0.8274
410,0.8282
411,0.8291
412,0.8278
413,0.8278
414,0.8269
415,0.8269
416,0.8274
417,0.8269
418,0.8286
419,0.8274
420,0.8278
421,0.8265
422,0.8256
423,0.8261
424,0.8261
425,0.8265
426,0.8269
427,0.8282
428,0.8286
429,0.8295
430,0.8274
431,0.8278
432,0.8252
433,0.8274
434,0.8269
435,0.8278
436,0.8282
437,0.8299
438,0.8286
439,0.8265
440,0.8265
441,0.8269
442,0.8291
443,0.8269
444,0.8269
445,0.8274
446,0.8265
447,0.8261
448,0.8291
449,0.8295
450,0.8291
451,0.8291
452,0.8308
453,0.8269
454,0.8286
455,0.8286
456,0.8291
457,0.8299
458,0.8295
459,0.8303
460,0.8278
461,0.8269
462,0.8278
463,0.8265
464,0.8291
465,0.8308
466,0.8299
467,0.8274
468,0.8274
469,0.8291
470,0.8295
471,0.8286
472,0.8291
473,0.8282
474,0.8291
475,0.8286
476,0.8303
477,0.8295
478,0.8286
479,0.8299
480,0.8308
481,0.8312
482,0.8282
483,0.8282
484,0.8291
485,0.8291
486,0.8286
487,0.8282
488,0.8286
489,0.8303
490,0.8312
491,0.8308
492,0.8303
493,0.8308
494,0.8295
495,0.8291
496,0.8274
497,0.8291
498,0.8308
499,0.8308
