epoch,val_acc
0,0.7000
1,0.6800
2,0.8200
3,0.8400
4,0.8400
5,0.8600
6,0.8400
7,0.8400
8,0.8600
9,0.8800
10,0.9000
11,0.9200
12,0.9200
13,0.9200
14,0.8800
15,0.8800
16,0.8600
17,0.8400
18,0.8200
19,0.8200
20,0.8200
21,0.8000
22,0.8000
23,0.8200
24,0.8400
25,0.8400
26,0.8200
27,0.8200
28,0.8400
29,0.8400
30,0.8400
31,0.8400
32,0.8400
33,0.8400
34,0.8400
35,0.8400
36,0.8400
37,0.8200
38,0.8200
39,0.8200
40,0.8200
41,0.8200
42,0.8200
43,0.8200
44,0.8200
45,0.8200
46,0.8200
47,0.8200
48,0.8200
49,0.8400
50,0.8400
51,0.8400
52,0.8400
53,0.8400
54,0.8600
55,0.8600
56,0.8600
57,0.8600
58,0.8400
59,0.8400
60,0.8600
61,0.8400
