epoch,val_acc
0,0.4600
1,0.5200
2,0.5400
3,0.5400
4,0.5600
5,0.5800
6,0.5800
7,0.5800
8,0.5800
9,0.5800
10,0.5600
11,0.5000
12,0.5000
13,0.5000
14,0.5600
15,0.5800
16,0.6000
17,0.6400
18,0.6400
19,0.6400
20,0.6400
21,0.6400
22,0.6200
23,0.6200
24,0.6200
25,0.6200
26,0.6400
27,0.6400
28,0.6600
29,0.6400
30,0.6400
31,0.6600
32,0.6600
33,0.6600
34,0.6600
35,0.6400
36,0.6400
37,0.6600
38,0.6800
39,0.6800
40,0.6800
41,0.6800
42,0.6600
43,0.6400
44,0.6600
45,0.6800
46,0.6800
47,0.6800
48,0.6800
49,0.6600
50,0.6800
51,0.6800
52,0.6800
53,0.6800
54,0.6800
55,0.6800
56,0.6800
57,0.6800
58,0.6800
59,0.6800
60,0.6600
61,0.6600
62,0.6400
63,0.6400
64,0.6400
65,0.6400
66,0.6600
67,0.6400
68,0.6600
69,0.6600
70,0.6800
71,0.6800
72,0.6800
73,0.6800
74,0.6600
75,0.6600
76,0.6800
77,0.6800
78,0.6600
79,0.6200
80,0.6200
81,0.6200
82,0.6000
83,0.6000
84,0.6000
85,0.6000
86,0.6000
87,0.6200
88,0.6200
