epoch,val_acc
0,0.3200
1,0.3200
2,0.3800
3,0.3800
4,0.4800
5,0.2600
6,0.2800
7,0.2800
8,0.2800
9,0.2800
10,0.3000
11,0.2600
12,0.2800
13,0.3000
14,0.3000
15,0.2800
16,0.2800
17,0.2800
18,0.2800
19,0.2800
20,0.2800
21,0.2800
22,0.2800
23,0.3800
24,0.4200
25,0.5200
26,0.5400
27,0.5200
28,0.4800
29,0.5400
30,0.5400
31,0.5400
32,0.5600
33,0.5600
34,0.5600
35,0.5800
36,0.6000
37,0.6000
38,0.6000
39,0.6000
40,0.5800
41,0.5800
42,0.6000
43,0.6000
44,0.6000
45,0.6200
46,0.6200
47,0.6400
48,0.6400
49,0.6400
50,0.6200
51,0.6000
52,0.6200
53,0.6200
54,0.6200
55,0.6200
56,0.6600
57,0.6000
58,0.5800
59,0.5800
60,0.6000
61,0.6000
62,0.6200
63,0.6200
64,0.6200
65,0.6200
66,0.6200
67,0.6200
68,0.6400
69,0.6400
70,0.6400
71,0.6400
72,0.6600
73,0.6600
74,0.6600
75,0.6600
76,0.6600
77,0.6600
78,0.6600
79,0.6600
80,0.6600
81,0.6600
82,0.6800
83,0.6800
84,0.6800
85,0.6800
86,0.6800
87,0.6800
88,0.6800
89,0.6800
90,0.6800
91,0.6800
92,0.6800
93,0.6800
94,0.6600
95,0.6600
96,0.6400
97,0.6600
98,0.6600
99,0.6600
100,0.6600
101,0.6600
102,0.6600
103,0.6600
104,0.6800
105,0.6800
106,0.6800
107,0.6800
108,0.6800
109,0.6800
110,0.6600
111,0.6600
112,0.6600
113,0.6600
114,0.6600
115,0.6600
116,0.6600
117,0.6600
118,0.6600
119,0.6600
120,0.6600
121,0.6600
122,0.6600
123,0.6600
124,0.6600
125,0.6600
126,0.6600
127,0.6600
128,0.6600
129,0.6600
130,0.6600
131,0.6600
132,0.6600
