epoch,val_acc
0,0.2400
1,0.2400
2,0.2800
3,0.4600
4,0.2800
5,0.2600
6,0.2600
7,0.2600
8,0.2800
9,0.2600
10,0.3000
11,0.3200
12,0.3400
13,0.4000
14,0.4000
15,0.4200
16,0.4600
17,0.4800
18,0.5000
19,0.4600
20,0.4000
21,0.3800
22,0.3600
23,0.3600
24,0.3600
25,0.3600
26,0.3600
27,0.4600
28,0.5200
29,0.5600
30,0.5800
31,0.5800
32,0.5800
33,0.5800
34,0.5800
35,0.5800
36,0.5800
37,0.6000
38,0.6000
39,0.6000
40,0.5600
41,0.5600
42,0.5800
43,0.5200
44,0.4800
45,0.4600
46,0.4600
47,0.4800
48,0.4800
49,0.5000
50,0.5400
51,0.5600
52,0.5800
53,0.5600
54,0.5600
55,0.5600
56,0.5600
57,0.5600
58,0.5600
59,0.5400
60,0.5400
61,0.5200
62,0.5200
63,0.5400
64,0.5400
65,0.5600
66,0.5600
67,0.5600
68,0.5600
69,0.5600
70,0.5800
71,0.5800
72,0.5800
73,0.5800
74,0.5800
75,0.5800
76,0.5800
77,0.5800
78,0.5800
79,0.5800
80,0.5800
81,0.5800
82,0.5800
83,0.5800
84,0.5800
85,0.5800
86,0.5400
87,0.5400
